date,interest rate,CCI,CCI_rate,CPI,CPI_rate,M1A,M1A_rate,M1B,M1B_rate,M2,M2_rate,load_house,load_house_rate,load_archi,load_archi_rate,NonPerforming_Loans_Ratio,TWSE,TWSE_rate,unemployment_rate,income,income_rate,GDP,GDP_rate
10101,1.888,102.8,1.73,96.37,2.36,4481008,4.22,11933630,3.86,32755688,5.22,5257667,2.32,1388397,10.27,0.42,7517.08,-17.8,4.18,11858812,2.88,3742573.0,1.09
10102,1.899,102.98,1.5,95.09,0.24,4374574,1.16,11957169,2.84,32971614,4.92,5244341,2.15,1399744,10.16,0.42,8121.44,-5.56,4.25,11858812,2.88,3742573.0,1.09
10103,1.894,103.31,0.89,95.21,1.25,4359028,2.74,11879831,3.47,32956815,5.05,5250654,1.6,1404131,9.12,0.43,7933.0,-8.64,4.17,11858812,2.88,3742573.0,1.09
10104,1.881,104.32,2.05,96.09,1.44,4412298,4.89,11877381,3.77,32972461,4.72,5267510,1.5,1404979,9.03,0.6,7501.72,-16.72,4.1,11858812,2.88,3864101.0,1.04
10105,1.888,104.64,2.26,96.57,1.75,4436664,4.55,11847406,3.24,32968376,4.4,5290918,1.65,1419785,9.31,0.56,7301.5,-18.77,4.12,11858812,2.88,3864101.0,1.04
10106,1.879,103.99,1.52,97.19,1.77,4428898,4.51,11779452,3.18,32839729,4.19,5319714,2.0,1455630,11.49,0.54,7296.28,-15.68,4.21,11858812,2.88,3864101.0,1.04
10107,1.892,103.41,1.01,97.56,2.46,4467648,4.05,11804006,2.88,32916473,3.8,5350711,2.33,1459706,11.92,0.53,7270.49,-15.89,4.31,11858812,2.88,4057126.0,2.18
10108,1.903,103.24,0.59,98.51,3.42,4517020,2.35,11991185,2.73,33119864,3.69,5365315,2.53,1462423,10.57,0.52,7397.06,-4.45,4.4,11858812,2.88,4057126.0,2.18
10109,1.897,102.48,-0.33,98.19,2.96,4525804,2.54,12065210,3.35,33181438,3.96,5373751,2.45,1462538,9.48,0.5,7715.16,6.78,4.32,11858812,2.88,4057126.0,2.18
10110,1.896,101.89,-1.01,98.12,2.34,4483316,3.21,11985949,3.57,33096987,3.29,5385210,2.57,1459746,9.26,0.47,7166.05,-5.56,4.33,11858812,2.88,4116109.0,4.48
10111,1.905,102.25,-0.01,97.38,1.59,4505979,3.69,12005063,3.65,33193303,3.26,5403458,2.86,1463083,8.9,0.45,7580.17,9.79,4.27,11858812,2.88,4116109.0,4.48
10112,1.912,102.38,-0.15,97.62,1.61,4638360,4.72,12234362,4.91,33479018,3.67,5420331,2.77,1467735,7.33,0.39,7699.5,8.87,4.18,11858812,2.88,4116109.0,4.48
10201,1.947,102.89,0.09,97.45,1.12,4747166,5.94,12407945,3.97,33734956,2.99,5442934,3.52,1451950,4.58,0.38,7850.02,4.43,4.16,12346322,4.11,3798607.0,1.5
10202,1.969,103.16,0.17,97.91,2.97,4823296,10.26,12634244,5.66,34136975,3.53,5429274,3.53,1451675,3.71,0.4,7897.98,-2.75,4.24,12346322,4.11,3798607.0,1.5
10203,1.948,103.32,0.01,96.5,1.35,4775503,9.55,12595646,6.03,34201247,3.78,5430781,3.43,1452136,3.42,0.4,7918.61,-0.18,4.17,12346322,4.11,3798607.0,1.5
