CCI,date,CCI_rate
102.8,10101,1.73
102.98,10102,1.5
103.31,10103,0.89
104.32,10104,2.05
104.64,10105,2.26
103.99,10106,1.52
103.41,10107,1.01
103.24,10108,0.59
102.48,10109,-0.33
101.89,10110,-1.01
102.25,10111,-0.01
102.38,10112,-0.15
102.89,10201,0.09
103.16,10202,0.17
103.32,10203,0.01
102.83,10204,-1.43
102.42,10205,-2.12
102.15,10206,-1.77
102.2,10207,-1.17
102.37,10208,-0.84
102.84,10209,0.35
102.83,10210,0.92
103.09,10211,0.82
103.32,10212,0.92
103.7,10301,0.79
103.78,10302,0.6
103.81,10303,0.47
104.46,10304,1.59
104.72,10305,2.25
105.19,10306,2.98
105.44,10307,3.17
105.56,10308,3.12
105.42,10309,2.51
104.92,10310,2.03
104.64,10311,1.5
104.37,10312,1.02
103.99,10401,0.28
103.38,10402,-0.39
103.09,10403,-0.69
102.86,10404,-1.53
102.37,10405,-2.24
102.26,10406,-2.79
101.54,10407,-3.7
100.94,10408,-4.38
100.71,10409,-4.47
99.99,10410,-4.7
99.84,10411,-4.59
99.56,10412,-4.61
99.38,10501,-4.43
99.16,10502,-4.08
99.28,10503,-3.7
100.4,10504,-2.39
101.06,10505,-1.28
100.35,10506,-1.87
100.03,10507,-1.49
99.97,10508,-0.96
99.73,10509,-0.97
99.49,10510,-0.5
100.11,10511,0.27
101.05,10512,1.5
101.67,10601,2.3
101.75,10602,2.61
102.22,10603,2.96
101.89,10604,1.48
101.28,10605,0.22
101.37,10606,1.02
101.64,10607,1.61
102.71,10608,2.74
103.43,10609,3.71
103.33,10610,3.86
103.65,10611,3.54
103.87,10612,2.79
104.44,10701,2.72
104.21,10702,2.42
104.78,10703,2.5
104.95,10704,3.0
105.25,10705,3.92
105.63,10706,4.2
106.26,10707,4.55
106.5,10708,3.69
106.9,10709,3.35
107.28,10710,3.82
107.05,10711,3.28
106.8,10712,2.82
106.92,10801,2.37
107.81,10802,3.45
108.38,10803,3.44
108.47,10804,3.35
108.25,10805,2.85
108.41,10806,2.63
108.4,10807,2.01
108.58,10808,1.95
108.34,10809,1.35
107.92,10810,0.6
108.12,10811,1.0
108.62,10812,1.7
108.97,10901,1.92
108.85,10902,0.96
109.11,10903,0.67
108.61,10904,0.13
108.69,10905,0.41
109.03,10906,0.57
109.05,10907,0.6
109.48,10908,0.83
110.27,10909,1.78
110.58,10910,2.46
111.15,10911,2.8
112.91,10912,3.95
115.52,11001,6.01
115.57,11002,6.17
116.82,11003,7.07
118.49,11004,9.1
121.24,11005,11.55
123.24,11006,13.03
124.0,11007,13.71
124.34,11008,13.57
124.63,11009,13.02
125.35,11010,13.36
125.81,11011,13.19
125.68,11012,11.31
