CPI,date,CPI_rate
96.37,10101,2.36
95.09,10102,0.24
95.21,10103,1.25
96.09,10104,1.44
96.57,10105,1.75
97.19,10106,1.77
97.56,10107,2.46
98.51,10108,3.42
98.19,10109,2.96
98.12,10110,2.34
97.38,10111,1.59
97.62,10112,1.61
97.45,10201,1.12
97.91,10202,2.97
96.5,10203,1.35
97.1,10204,1.05
97.28,10205,0.74
97.77,10206,0.6
97.62,10207,0.06
97.74,10208,-0.78
99.02,10209,0.85
98.75,10210,0.64
98.04,10211,0.68
97.95,10212,0.34
98.25,10301,0.82
97.87,10302,-0.04
98.05,10303,1.61
98.71,10304,1.66
98.86,10305,1.62
99.37,10306,1.64
99.34,10307,1.76
99.77,10308,2.08
99.72,10309,0.71
99.79,10310,1.05
98.88,10311,0.86
98.54,10312,0.6
97.33,10401,-0.94
97.67,10402,-0.2
97.45,10403,-0.61
97.9,10404,-0.82
98.14,10405,-0.73
98.81,10406,-0.56
98.71,10407,-0.63
99.33,10408,-0.44
100.01,10409,0.29
100.1,10410,0.31
99.41,10411,0.54
98.67,10412,0.13
98.12,10501,0.81
100.02,10502,2.41
99.41,10503,2.01
99.73,10504,1.87
99.35,10505,1.23
99.7,10506,0.9
99.93,10507,1.24
99.89,10508,0.56
100.35,10509,0.34
101.8,10510,1.7
101.37,10511,1.97
100.34,10512,1.69
100.32,10601,2.24
99.96,10602,-0.06
99.59,10603,0.18
99.83,10604,0.1
99.94,10605,0.59
100.7,10606,1.0
100.7,10607,0.77
100.85,10608,0.96
100.84,10609,0.49
101.46,10610,-0.33
101.71,10611,0.34
101.56,10612,1.22
101.21,10701,0.89
102.16,10702,2.2
101.17,10703,1.59
101.83,10704,2.0
101.69,10705,1.75
102.11,10706,1.4
102.47,10707,1.76
102.4,10708,1.54
102.57,10709,1.72
102.64,10710,1.16
102.01,10711,0.29
101.5,10712,-0.06
101.39,10801,0.18
102.38,10802,0.22
101.74,10803,0.56
102.5,10804,0.66
102.64,10805,0.93
102.98,10806,0.85
102.86,10807,0.38
102.84,10808,0.43
103.0,10809,0.42
103.02,10810,0.37
102.6,10811,0.58
102.66,10812,1.14
103.28,10901,1.86
102.17,10902,-0.21
101.71,10903,-0.03
101.51,10904,-0.97
101.4,10905,-1.21
102.21,10906,-0.75
102.34,10907,-0.51
102.5,10908,-0.33
102.4,10909,-0.58
102.75,10910,-0.26
102.69,10911,0.09
102.71,10912,0.05
103.08,11001,-0.19
103.58,11002,1.38
102.96,11003,1.23
103.64,11004,2.1
103.88,11005,2.45
104.08,11006,1.83
104.29,11007,1.91
104.9,11008,2.34
105.06,11009,2.6
105.37,11010,2.55
105.62,11011,2.85
105.41,11012,2.63
