date,M1A,M1A_rate,M1B,M1B_rate,M2,M2_rate
10101,4481008,4.22,11933630,3.86,32755688,5.22
10102,4374574,1.16,11957169,2.84,32971614,4.92
10103,4359028,2.74,11879831,3.47,32956815,5.05
10104,4412298,4.89,11877381,3.77,32972461,4.72
10105,4436664,4.55,11847406,3.24,32968376,4.4
10106,4428898,4.51,11779452,3.18,32839729,4.19
10107,4467648,4.05,11804006,2.88,32916473,3.8
10108,4517020,2.35,11991185,2.73,33119864,3.69
10109,4525804,2.54,12065210,3.35,33181438,3.96
10110,4483316,3.21,11985949,3.57,33096987,3.29
10111,4505979,3.69,12005063,3.65,33193303,3.26
10112,4638360,4.72,12234362,4.91,33479018,3.67
10201,4747166,5.94,12407945,3.97,33734956,2.99
10202,4823296,10.26,12634244,5.66,34136975,3.53
10203,4775503,9.55,12595646,6.03,34201247,3.78
10204,4763134,7.95,12556675,5.72,34194561,3.71
10205,4815676,8.54,12681028,7.04,34391500,4.32
10206,4828193,9.02,12709184,7.89,34422745,4.82
10207,4900146,9.68,12822892,8.63,34699121,5.42
10208,4937171,9.3,12988059,8.31,34911985,5.41
10209,4924889,8.82,13036629,8.05,35020549,5.54
10210,4905229,9.41,13014770,8.58,35081041,5.99
10211,4981534,10.55,13068044,8.85,35200088,6.05
10212,5138230,10.78,13274088,8.5,35405471,5.75
10301,5307731,11.81,13639696,9.93,35749776,5.97
10302,5277921,9.43,13723996,8.63,36051049,5.61
10303,5240551,9.74,13712635,8.87,36215330,5.89
10304,5232371,9.85,13699653,9.1,36327387,6.24
10305,5265536,9.34,13713754,8.14,36425043,5.91
10306,5218279,8.08,13657227,7.46,36398716,5.74
10307,5322217,8.61,13804385,7.65,36652914,5.63
10308,5389264,9.16,13970453,7.56,36879858,5.64
10309,5379808,9.24,13996471,7.36,36880189,5.31
10310,5381702,9.71,13948695,7.18,36827559,4.98
10311,5412535,8.65,13976530,6.95,37036738,5.22
10312,5529686,7.62,14189364,6.9,37475663,5.85
10401,5552529,4.61,14326278,5.03,37846099,5.86
10402,5651907,7.09,14564263,6.12,38399104,6.51
10403,5567000,6.23,14517099,5.87,38592972,6.57
10404,5544576,5.97,14501393,5.85,38698092,6.53
10405,5578053,5.94,14561211,6.18,38906467,6.81
10406,5573710,6.81,14488540,6.09,38773980,6.53
10407,5659811,6.34,14586258,5.66,38874878,6.06
10408,5752138,6.73,14789586,5.86,39097994,6.01
10409,5784619,7.52,14923309,6.62,39276397,6.5
10410,5733893,6.54,14890569,6.75,39251780,6.58
10411,5788904,6.95,14917407,6.73,39404815,6.39
10412,5949377,7.59,15093681,6.37,39606069,5.68
10501,6047259,8.91,15317647,6.92,39975156,5.63
10502,6038342,6.84,15453965,6.11,40385894,5.17
