date,unemployment_rate
10101,4.18
10102,4.25
10103,4.17
10104,4.1
10105,4.12
10106,4.21
10107,4.31
10108,4.4
10109,4.32
10110,4.33
10111,4.27
10112,4.18
10201,4.16
10202,4.24
10203,4.17
10204,4.07
10205,4.06
10206,4.14
10207,4.25
10208,4.33
10209,4.24
10210,4.24
10211,4.16
10212,4.08
10301,4.02
10302,4.09
10303,4.03
10304,3.91
10305,3.85
10306,3.92
10307,4.02
10308,4.08
10309,3.96
10310,3.95
10311,3.89
10312,3.79
10401,3.71
10402,3.69
10403,3.72
10404,3.63
10405,3.62
10406,3.71
10407,3.82
10408,3.9
10409,3.89
10410,3.9
10411,3.91
10412,3.87
10501,3.87
10502,3.95
10503,3.89
10504,3.86
10505,3.84
10506,3.92
10507,4.02
10508,4.08
10509,3.99
10510,3.95
10511,3.87
10512,3.79
10601,3.78
10602,3.85
10603,3.78
10604,3.67
10605,3.66
10606,3.74
10607,3.84
10608,3.89
10609,3.77
10610,3.75
10611,3.71
10612,3.66
10701,3.63
10702,3.7
10703,3.66
10704,3.64
10705,3.63
10706,3.7
10707,3.81
10708,3.87
10709,3.76
10710,3.75
10711,3.7
10712,3.66
10801,3.64
10802,3.72
10803,3.68
10804,3.67
10805,3.67
10806,3.73
10807,3.82
10808,3.89
10809,3.8
10810,3.77
10811,3.73
10812,3.67
10901,3.64
10902,3.7
10903,3.72
10904,4.03
10905,4.07
10906,3.96
10907,4.0
10908,3.99
10909,3.83
10910,3.8
10911,3.75
10912,3.68
11001,3.66
11002,3.7
11003,3.67
11004,3.64
11005,4.11
11006,4.8
11007,4.53
11008,4.24
11009,3.96
11010,3.83
11011,3.66
11012,3.64
