GDP,GDP_rate,year,quater,date
3742573.0,1.09,2012,1,101
3864101.0,1.04,2012,2,101
4057126.0,2.18,2012,3,101
4116109.0,4.48,2012,4,101
3798607.0,1.5,2013,1,102
3967499.0,2.68,2013,2,102
4136219.0,1.95,2013,3,102
4269496.0,3.73,2013,4,102
3976799.0,4.69,2014,1,103
4162821.0,4.92,2014,2,103
4338997.0,4.9,2014,3,103
4456390.0,4.38,2014,4,103
4167494.0,4.8,2015,1,104
4241663.0,1.89,2015,2,104
4326715.0,-0.28,2015,3,104
4447363.0,-0.2,2015,4,104
4163911.0,-0.09,2016,1,105
4313374.0,1.69,2016,2,105
4456444.0,3.0,2016,3,105
4621539.0,3.92,2016,4,105
4298922.0,3.24,2017,1,106
4427293.0,2.64,2017,2,106
4617188.0,3.61,2017,3,106
4793186.0,3.71,2017,4,106
4445450.0,3.41,2018,1,107
4578674.0,3.42,2018,2,107
4722901.0,2.29,2018,3,107
4894989.0,2.12,2018,4,107
4536614.0,2.05,2019,1,108
4715604.0,2.99,2019,2,108
4884815.0,3.43,2019,3,108
5076163.0,3.7,2019,4,108
4672351.0,2.99,2020,1,109
4745511.0,0.63,2020,2,109
5095513.0,4.31,2020,3,109
5345203.0,5.3,2020,4,109
5102244.0,9.2,2021,1,110
5113633.0,7.76,2021,2,110
5318063.0,4.37,2021,3,110
5604822.0,4.86,2021,4,110
