年月,總體逾放比率,本國銀行,外國及大陸地區銀行在臺分行,信用合作社,農漁會信用部,EndofPeriod,公告日期
200701,2.210000,2.280000,0.630000,1.600000,8.010000,,20190503
200702,2.310000,2.380000,0.640000,1.630000,7.910000,,20190503
200703,2.260000,2.320000,0.610000,1.550000,7.770000,,20190503
200704,2.280000,2.350000,0.600000,1.530000,7.640000,,20190503
200705,2.260000,2.330000,0.570000,1.460000,7.480000,,20190503
200706,2.260000,2.320000,1.000000,1.410000,7.340000,,20190503
200707,2.290000,2.350000,1.170000,1.370000,7.150000,,20190503
200708,2.180000,2.240000,0.870000,1.440000,6.950000,,20190503
200709,2.110000,2.160000,1.070000,1.460000,6.890000,,20190503
200710,2.100000,2.160000,0.820000,1.460000,6.680000,,20190503
200711,2.080000,2.130000,0.820000,1.430000,6.570000,,20190503
200712,1.790000,1.840000,0.740000,1.290000,6.250000,,20190503
200801,1.780000,1.830000,0.700000,1.410000,,,20190503
200802,1.750000,1.790000,0.710000,1.510000,,,20190503
200803,1.690000,1.690000,1.870000,1.510000,,,20190503
200804,1.660000,1.650000,1.820000,1.490000,,,20190503
200805,1.630000,1.610000,2.310000,1.440000,,,20190503
200806,1.570000,1.550000,2.010000,1.440000,,,20190503
200807,1.560000,1.540000,1.990000,1.430000,,,20190503
200808,1.550000,1.530000,1.930000,1.430000,,,20190503
200809,1.530000,1.530000,1.690000,1.440000,,,20190503
200810,1.540000,1.540000,1.660000,1.420000,,,20190503
200811,1.580000,1.600000,1.280000,1.410000,,,20190503
200812,1.520000,1.540000,1.200000,1.240000,6.520000,,20190503
200901,1.550000,1.570000,1.150000,1.330000,6.560000,,20190503
200902,1.590000,1.610000,1.210000,1.390000,6.620000,,20190503
200903,1.600000,1.630000,1.190000,1.330000,6.630000,,20190503
200904,1.600000,1.630000,1.150000,1.280000,6.570000,,20190503
200905,1.590000,1.610000,1.160000,1.330000,6.540000,,20190503
200906,1.490000,1.500000,1.300000,1.230000,6.400000,,20190503
200907,1.460000,1.470000,1.220000,1.220000,6.250000,,20190503
