"時間","M1A原始值","M1A年增率(%)","M1B原始值","M1B年增率(%)","M2原始值","M2年增率(%)"
"2012M01",4481008,4.22,11933630,3.86,32755688,5.22
"2012M02",4374574,1.16,11957169,2.84,32971614,4.92
"2012M03",4359028,2.74,11879831,3.47,32956815,5.05
"2012M04",4412298,4.89,11877381,3.77,32972461,4.72
"2012M05",4436664,4.55,11847406,3.24,32968376,4.40
"2012M06",4428898,4.51,11779452,3.18,32839729,4.19
"2012M07",4467648,4.05,11804006,2.88,32916473,3.80
"2012M08",4517020,2.35,11991185,2.73,33119864,3.69
"2012M09",4525804,2.54,12065210,3.35,33181438,3.96
"2012M10",4483316,3.21,11985949,3.57,33096987,3.29
"2012M11",4505979,3.69,12005063,3.65,33193303,3.26
"2012M12",4638360,4.72,12234362,4.91,33479018,3.67
"2013M01",4747166,5.94,12407945,3.97,33734956,2.99
"2013M02",4823296,10.26,12634244,5.66,34136975,3.53
"2013M03",4775503,9.55,12595646,6.03,34201247,3.78
"2013M04",4763134,7.95,12556675,5.72,34194561,3.71
"2013M05",4815676,8.54,12681028,7.04,34391500,4.32
"2013M06",4828193,9.02,12709184,7.89,34422745,4.82
"2013M07",4900146,9.68,12822892,8.63,34699121,5.42
"2013M08",4937171,9.30,12988059,8.31,34911985,5.41
"2013M09",4924889,8.82,13036629,8.05,35020549,5.54
"2013M10",4905229,9.41,13014770,8.58,35081041,5.99
"2013M11",4981534,10.55,13068044,8.85,35200088,6.05
"2013M12",5138230,10.78,13274088,8.50,35405471,5.75
"2014M01",5307731,11.81,13639696,9.93,35749776,5.97
"2014M02",5277921,9.43,13723996,8.63,36051049,5.61
"2014M03",5240551,9.74,13712635,8.87,36215330,5.89
"2014M04",5232371,9.85,13699653,9.10,36327387,6.24
"2014M05",5265536,9.34,13713754,8.14,36425043,5.91
"2014M06",5218279,8.08,13657227,7.46,36398716,5.74
"2014M07",5322217,8.61,13804385,7.65,36652914,5.63
"2014M08",5389264,9.16,13970453,7.56,36879858,5.64
"2014M09",5379808,9.24,13996471,7.36,36880189,5.31
"2014M10",5381702,9.71,13948695,7.18,36827559,4.98
"2014M11",5412535,8.65,13976530,6.95,37036738,5.22
"2014M12",5529686,7.62,14189364,6.90,37475663,5.85
"2015M01",5552529,4.61,14326278,5.03,37846099,5.86
"2015M02",5651907,7.09,14564263,6.12,38399104,6.51
"2015M03",5567000,6.23,14517099,5.87,38592972,6.57
"2015M04",5544576,5.97,14501393,5.85,38698092,6.53
"2015M05",5578053,5.94,14561211,6.18,38906467,6.81
"2015M06",5573710,6.81,14488540,6.09,38773980,6.53
"2015M07",5659811,6.34,14586258,5.66,38874878,6.06
"2015M08",5752138,6.73,14789586,5.86,39097994,6.01
"2015M09",5784619,7.52,14923309,6.62,39276397,6.50
"2015M10",5733893,6.54,14890569,6.75,39251780,6.58
