時間, 利率(年息百分比率)
2012M01,1.888
2012M02,1.899
2012M03,1.894
2012M04,1.881
2012M05,1.888
2012M06,1.879
2012M07,1.892
2012M08,1.903
2012M09,1.897
2012M10,1.896
2012M11,1.905
2012M12,1.912
2013M01,1.947
2013M02,1.969
2013M03,1.948
2013M04,1.946
2013M05,1.98
2013M06,1.95
2013M07,1.95
2013M08,1.947
2013M09,1.942
2013M10,1.945
2013M11,1.935
2013M12,1.934
2014M01,1.963
2014M02,1.97
2014M03,1.967
2014M04,1.956
2014M05,1.961
2014M06,1.956
2014M07,1.958
2014M08,1.963
2014M09,1.972
2014M10,1.977
2014M11,1.959
2014M12,1.962
2015M01,1.985
2015M02,1.984
2015M03,1.99
2015M04,1.986
2015M05,1.981
2015M06,1.983
2015M07,1.976
2015M08,1.974
2015M09,1.964
2015M10,1.911
2015M11,1.906
2015M12,1.895
2016M01,1.852
2016M02,1.835
2016M03,1.816
2016M04,1.74
2016M05,1.731
2016M06,1.724
2016M07,1.695
2016M08,1.684
2016M09,1.669
2016M10,1.661
2016M11,1.678
2016M12,1.659
2017M01,1.674
2017M02,1.668
2017M03,1.665
2017M04,1.666
2017M05,1.655
2017M06,1.647
2017M07,1.642
2017M08,1.638
2017M09,1.633
2017M10,1.627
2017M11,1.63
2017M12,1.632
2018M01,1.635
2018M02,1.633
2018M03,1.628
2018M04,1.629
2018M05,1.627
2018M06,1.624
2018M07,1.62
2018M08,1.626
2018M09,1.62
2018M10,1.627
2018M11,1.626
2018M12,1.617
2019M01,1.629
2019M02,1.638
2019M03,1.627
2019M04,1.622
2019M05,1.622
2019M06,1.621
2019M07,1.619
2019M08,1.624
2019M09,1.615
2019M10,1.615
2019M11,1.617
2019M12,1.608
2020M01,1.617
2020M02,1.611
2020M03,1.593
2020M04,1.381
2020M05,1.349
2020M06,1.359
2020M07,1.359
2020M08,1.359
2020M09,1.359
2020M10,1.367
2020M11,1.361
2020M12,1.356
2021M01,1.362
2021M02,1.367
2021M03,1.357
2021M04,1.357
2021M05,1.35
2021M06,1.353
2021M07,1.349
2021M08,1.349
2021M09,1.346
2021M10,1.351
2021M11,1.351
2021M12,1.355
