date,interest rate
10101,1.888
10102,1.899
10103,1.894
10104,1.881
10105,1.888
10106,1.879
10107,1.892
10108,1.903
10109,1.897
10110,1.896
10111,1.905
10112,1.912
10201,1.947
10202,1.969
10203,1.948
10204,1.946
10205,1.98
10206,1.95
10207,1.95
10208,1.947
10209,1.942
10210,1.945
10211,1.935
10212,1.934
10301,1.963
10302,1.97
10303,1.967
10304,1.956
10305,1.961
10306,1.956
10307,1.958
10308,1.963
10309,1.972
10310,1.977
10311,1.959
10312,1.962
10401,1.985
10402,1.984
10403,1.99
10404,1.986
10405,1.981
10406,1.983
10407,1.976
10408,1.974
10409,1.964
10410,1.911
10411,1.906
10412,1.895
10501,1.852
10502,1.835
10503,1.816
10504,1.74
10505,1.731
10506,1.724
10507,1.695
10508,1.684
10509,1.669
10510,1.661
10511,1.678
10512,1.659
10601,1.674
10602,1.668
10603,1.665
10604,1.666
10605,1.655
10606,1.647
10607,1.642
10608,1.638
10609,1.633
10610,1.627
10611,1.63
10612,1.632
10701,1.635
10702,1.633
10703,1.628
10704,1.629
10705,1.627
10706,1.624
10707,1.62
10708,1.626
10709,1.62
10710,1.627
10711,1.626
10712,1.617
10801,1.629
10802,1.638
10803,1.627
10804,1.622
10805,1.622
10806,1.621
10807,1.619
10808,1.624
10809,1.615
10810,1.615
10811,1.617
10812,1.608
10901,1.617
10902,1.611
10903,1.593
10904,1.381
10905,1.349
10906,1.359
10907,1.359
10908,1.359
10909,1.359
10910,1.367
10911,1.361
10912,1.356
11001,1.362
11002,1.367
11003,1.357
11004,1.357
11005,1.35
11006,1.353
11007,1.349
11008,1.349
11009,1.346
11010,1.351
11011,1.351
11012,1.355
