"Date","失業率(%)","製造業單位產出勞動成本指數(2011=100)","金融業隔夜拆款利率(年息百分比)","全體金融機構放款與投資(10億元)","製造業存貨價值(千元)"
198201,1.36,121.65,12.89,-,159946328
198202,1.62,96.58,14.83,-,165470731
198203,1.32,84.16,11.72,-,163420163
198204,1.49,87.2,11.87,-,161756961
198205,1.98,86.56,11.99,-,161732827
198206,1.95,90.61,12.9,-,155964811
198207,2.21,89.56,9.57,-,160126258
198208,2.65,92.74,11.1,-,157265465
198209,2.68,90.36,8.9,-,154386505
198210,2.77,92.42,8.79,-,155874313
198211,2.71,93.05,8.46,-,149950411
198212,2.79,84.52,8.38,-,178892732
198301,2.73,90.5,7.09,-,181508023
198302,3.45,111.87,8.16,-,180942744
198303,2.91,85.46,6.66,-,171296391
198304,2.61,86.78,6.71,-,164796024
198305,2.42,86.08,6.72,-,161458322
198306,2.51,86.42,7.14,-,157960424
198307,2.88,90.8,7.39,-,165579956
198308,2.91,89.41,7.53,-,161036871
198309,2.7,91.12,6.12,-,162121216
198310,2.79,91.88,6.39,-,173258664
198311,2.34,90.55,6,-,178283796
198312,2.27,90.95,6.42,-,187475488
198401,2.34,100.44,8.1,-,184640606
198402,2.75,105.69,8.45,-,190608319
198403,2.09,90.38,7.23,-,193032271
198404,2.01,94.84,6.51,-,191058279
198405,2.11,91.66,5.05,-,198497178
198406,2.23,94.31,5.9,-,195320754
198407,2.52,95.59,6.78,-,193641632
198408,3.02,96,5.47,-,200429695
198409,3.03,103.87,6.7,-,198360601
198410,2.77,103.92,5.04,-,200579198
198411,2.25,101.5,6.05,-,200235064
198412,2.21,100.43,6.61,-,198335597
198501,2.03,100.84,6.59,-,205329775
198502,2.15,128.44,8.35,-,208121683
198503,2.49,98.58,6.37,-,204594146
198504,2.28,98.24,5.417,-,203635608
198505,2.57,98.47,6.025,-,206747693
198506,2.53,104.84,5.427,-,206980218
198507,3.44,101.03,5.631,-,209056725
198508,4.1,101.49,7.827,-,207071658
198509,3.62,105.32,5.883,-,201912066
198510,3.45,102.05,5,-,206713195
198511,3.28,103.67,5,-,198783142
198512,2.91,97.74,5,-,196544938
198601,2.53,118.12,5.08,-,190988361
198602,3.33,143.49,5.01,-,190996564
198603,2.79,89.15,3.57,-,178044198
198604,2.34,100.6,3.64,-,183883982
198605,2.34,98.22,3.5,-,180565408
198606,2.72,103.26,4.32,-,175698053
198607,2.93,101.27,3.5,-,177656731
198608,3.11,99.85,3.5,-,177675981
198609,2.96,103.42,3.5,-,174848948
198610,2.61,97.58,3.73,-,178826607
198611,2.33,98.91,3.37,-,187160803
198612,1.98,98.53,4,-,180753717
198701,1.92,163.25,3.78,-,180377995
198702,2.37,104.83,3.57,-,183834402
198703,2.03,94.96,3.27,-,189594381
198704,1.72,94.5,3.65,-,191305695
198705,1.94,97.3,3.73,-,190876205
198706,1.75,97.98,3.45,-,189206168
198707,2.02,101.75,5.28,-,194187433
198708,2.08,102.37,4.03,-,193356502
198709,2.07,105.85,4.21,-,189133839
198710,2.01,105.13,3.64,-,190249726
198711,1.86,104.64,3.57,-,194385334
198712,1.82,101.3,4.56,-,192197577
198801,1.77,115.99,5.11,3682,217367861
198802,1.7,179.42,5.52,3692,218700298
198803,1.79,101.08,5.37,3736,225231301
198804,1.59,103.04,5.23,3747,225484781
198805,1.74,104.96,4.37,3815,223883825
198806,1.83,106.52,5.65,3884,219500711
198807,1.94,109.22,5.41,3949,218895283
198808,1.87,108.74,3.97,4012,219350251
198809,1.62,112.97,4.19,4042,214165546
198810,1.54,109.82,3.89,4148,225031083
198811,1.48,109.54,3.51,4288,203573272
198812,1.41,104.99,4.21,4362,207328635
198901,1.35,164.06,3.8,4343,211625993
198902,1.88,171.67,4.42,4501,215617087
198903,1.46,102.68,3.64,4574,223681269
198904,1.31,107.32,10.85,4632,217147954
198905,1.5,106.42,11.21,4701,223547324
198906,1.68,108.72,7.95,4900,219825734
198907,1.76,115.89,7.23,4994,220272031
198908,1.87,113.62,8.75,5013,218699696
198909,1.72,118.1,7.06,5117,219934040
198910,1.48,116.69,8.59,5180,220615760
198911,1.45,112.42,5.49,5282,225092418
198912,1.36,117.66,5.66,5400,224706809
199001,1.31,255.71,10.68,5412,224185183
199002,1.6,122.15,13.03,5489,230072980
199003,1.51,108.97,13.67,5504,229627132
199004,1.32,114.76,11.62,5643,233327719
199005,1.48,115.92,9.16,5646,230596520
199006,1.67,115.3,11.17,5680,231682315
199007,1.96,122.34,11.68,5744,232468416
199008,2.1,118.91,10.04,5725,227800300
199009,1.98,123.38,6.67,5835,232873607
199010,1.73,121.56,5.41,5760,236853781
199011,1.8,115.97,5.87,5786,238264936
199012,1.52,118.16,6.27,5891,238721513
199101,1.37,148.16,6.28,5986,239925660
199102,1.35,259.18,8.02,6130,254199591
199103,1.39,114.69,7.24,6284,257213431
199104,1.4,119.34,8.09,6363,249345879
199105,1.43,115.75,8.43,6428,246167721
199106,1.37,121.83,8.29,6672,244558674
199107,1.82,125.21,7.87,6747,240465255
199108,1.78,118.57,8.39,6786,236729900
199109,1.79,121.1,7.04,6953,247728998
199110,1.56,115.23,4.911,7079,252652555
199111,1.49,114.64,6.829,7141,251662462
199112,1.39,117.66,6.328,7375,254691736
199201,1.37,224.58,5.556,7448,249517396
199202,1.54,181.23,6.892,7575,253918202
199203,1.38,119.42,6.672,7730,256477745
199204,1.33,120.67,6.681,7943,254562725
199205,1.4,124.47,7.947,8100,258251596
199206,1.54,124.75,8.53,8375,257817012
199207,1.76,128.2,7.024,8487,252704510
199208,1.92,128.13,7.133,8562,255578644
199209,1.72,132,6.617,8690,253799193
199210,1.55,126.52,6.072,8727,254930774
199211,1.36,128.92,5.636,8891,253557965
199212,1.27,129.31,7.037,9098,260124032
199301,1.23,316.56,7.733,9109,266753703
199302,1.32,134.01,6.918,9279,268854510
199303,1.34,121.45,7.007,9404,267506802
199304,1.34,125.85,7.184,9483,262527401
199305,1.29,127.94,6.913,9683,263636809
199306,1.4,131.97,6.079,9922,261134877
199307,1.71,130.33,5.914,9975,256800585
199308,1.9,131.26,6.08,10000,255198185
199309,1.58,135.52,5.082,10177,260785427
199310,1.58,132.86,6.002,10256,259300750
199311,1.39,133.01,5.7,10417,260818774
199312,1.24,132.03,5.648,10632,266420593
199401,1.2,211.79,6.721,10650,263454068
199402,1.66,250.1,7.07,10773,262470682
199403,1.52,127.51,5.524,10982,265919712
199404,1.38,131.8,5.514,11079,257096897
199405,1.43,132.59,5.154,11224,258447379
199406,1.53,131.98,5.493,11399,259644960
199407,1.85,139.52,6.471,11436,257390456
199408,1.99,137.16,8.4,11486,261614266
199409,1.65,138.99,7.503,11638,259669582
199410,1.62,134.04,6.847,11625,265545229
199411,1.48,128.23,5.347,11843,273150814
199412,1.41,133.23,5.583,12158,279937907
199501,1.38,287.45,6.145,12163,280225957
199502,1.7,154.08,5.687,12369,281723799
199503,1.53,121.03,6.167,12506,280189613
199504,1.53,130.63,6.553,12427,283412839
199505,1.63,127.35,5.996,12568,294493359
199506,1.77,127.6,5.698,12832,300880331
199507,1.95,135.74,5.353,12968,313807341
199508,2.09,134.72,6.458,12994,322823577
199509,2.03,135.98,7.943,13045,324695950
199510,2.02,136.03,6.51,13050,319404501
199511,1.95,130.84,6.257,13130,321987550
199512,1.9,137.08,6.042,13364,330093781
199601,2.03,162.62,5.705,13428,343992797
199602,2.1,303.48,6.1,13443,346076508
199603,2.24,132.57,6.082,13572,333314335
199604,2.21,132.69,5.931,13675,329628953
199605,2.35,127.56,5.453,13793,331890554
199606,2.6,133.52,5.089,14033,331146584
199607,2.97,132.89,5.034,14069,332312499
199608,3.19,129.41,5.453,14097,321410766
199609,3.03,135.97,5.099,14197,322737540
199610,3.05,127.45,4.93,14201,320205852
199611,2.86,123.83,5.053,14333,313898593
199612,2.6,126.91,5.147,14516,320773147
199701,2.68,217.42,5.653,14518,316187913
199702,2.97,230.93,6.66,14533,318995926
199703,2.79,122.17,6.188,14719,315554681
199704,2.59,128.12,6.562,14715,314539937
199705,2.51,127.31,5.663,14818,321081259
199706,2.67,133.1,7.208,14963,324944334
199707,2.85,132.34,7.107,15033,325723726
199708,3.03,130.54,8.112,15111,327141524
199709,2.84,133.81,7.55,15267,327662788
199710,2.63,124.87,7.816,15401,334043919
199711,2.6,127.95,7.116,15568,342319105
199712,2.45,131.88,6.666,15954,365180533
199801,2.35,329.82,7.312,16219,354206323
199802,2.57,135.64,7.222,16272,354998058
199803,2.34,123.88,6.931,16368,349758896
199804,2.29,128.11,6.8,16329,353395653
199805,2.37,133.87,6.877,16344,364664952
199806,2.7,128.76,6.837,16611,367943421
199807,2.93,130.67,6.748,16634,365829556
199808,3.05,126.69,6.673,16731,349346320
199809,2.98,128.35,6.521,16967,352384932
199810,2.98,122.28,6.061,17056,351257810
199811,2.93,121.13,5.401,17253,354818441
199812,2.8,129.38,4.954,17257,353662974
199901,2.76,177.99,4.848,17196,344264561
199902,2.73,269.09,4.747,17296,333959502
199903,2.84,118.66,4.73,17360,333565638
199904,2.75,119.6,4.723,17369,327808107
199905,2.84,121.36,4.696,17364,329416248
199906,2.92,127.32,4.737,17547,336222728
199907,3.11,125.14,4.835,17491,338415837
199908,3.22,123.63,4.841,17417,338673257
199909,3.08,134.97,4.837,17566,336042495
199910,3.05,119.07,4.817,17458,331085150
199911,2.94,118.9,4.825,17634,347146080
199912,2.85,134.23,4.73,17927,361468657
200001,2.74,221.29,4.614,18137,373077778
200002,2.91,203.42,4.611,18141,362913057
200003,2.83,115.5,4.643,18283,353615742
200004,2.73,124.04,4.645,18256,364142081
200005,2.78,120.28,4.771,18281,373156833
200006,2.89,120.35,4.797,18365,379263960
200007,3.06,124.49,4.785,18440,382972507
200008,3.16,119.77,4.754,18456,392793988
200009,3.1,120.26,4.799,18462,383685914
200010,3.19,117.06,4.758,18481,398204077
200011,3.23,117.58,4.739,18606,413646146
200012,3.27,132.22,4.72,18871,434447132
200101,3.35,288.48,4.655,18986,426586339
200102,3.73,133.68,4.517,18887,417742707
200103,3.89,117.13,4.36,18883,406390441
200104,3.96,128.2,4.227,18762,400347962
200105,4.22,123.65,4.037,18741,397091349
200106,4.51,132.92,3.895,18853,398182576
200107,4.92,133.89,3.686,18873,393048715
200108,5.17,123.1,3.513,18748,382844900
200109,5.26,134.97,3.173,18732,378902081
200110,5.33,118.35,2.727,18650,378034737
200111,5.28,119.72,2.486,18604,376061376
200112,5.22,131.47,2.39,18840,379091939
200201,5.14,181.56,2.299,18887,370350414
200202,5.12,209.56,2.277,18826,369259801
200203,5.16,111.91,2.273,18742,361124210
200204,4.98,113.86,2.265,18669,356765342
200205,5.02,110.7,2.215,18573,360640153
200206,5.11,120.56,2.071,18602,363713652
200207,5.23,117.6,1.937,18574,368357384
200208,5.35,113.33,1.96,18477,373647457
200209,5.32,118.6,1.947,18561,375275826
200210,5.31,110.76,1.933,18551,372567569
200211,5.22,111.67,1.794,18610,380525921
200212,5.04,121.82,1.614,18843,376105642
200301,5.03,218.99,1.302,19010,374286629
200302,5.17,138.81,1.258,18926,372602647
200303,5.08,109.69,1.203,18886,384748134
200304,4.92,111.61,1.188,18901,388811688
200305,4.98,114.31,1.181,18903,388485703
200306,5.09,115.07,1.156,19054,383168933
200307,5.16,111.73,1.027,19030,381503324
200308,5.21,111.39,1.024,19033,382360063
200309,5.05,112.52,1.021,19158,377497581
200310,4.92,102.7,1.024,19117,374616313
200311,4.71,107.01,1.022,19176,381099504
200312,4.58,113.43,1.025,19480,391943786
200401,4.53,238.26,1.008,19626,386449830
200402,4.61,114.84,0.984,19702,394666236
200403,4.45,100.44,0.991,19960,408997452
200404,4.36,105.32,0.972,20142,408825357
200405,4.41,104,0.967,20322,421027515
200406,4.54,111.93,1.018,20400,424318470
200407,4.62,112.19,1.024,20537,426270022
200408,4.67,107.03,1.048,20598,426222140
200409,4.5,109.83,1.084,20731,441503605
200410,4.31,105.42,1.142,20763,455742600
200411,4.14,106.2,1.141,20951,479516358
200412,4.09,113.68,1.149,21373,499327371
200501,4.06,196.37,1.202,21446,478233161
200502,4.28,178.27,1.203,21534,481963059
200503,4.15,101.4,1.221,21709,470549909
200504,4.04,105.12,1.267,21736,481435196
200505,4.1,105.18,1.266,21916,487087457
200506,4.22,108.48,1.265,22142,474744059
200507,4.32,113.76,1.324,22185,472128998
200508,4.36,104.28,1.324,22306,467829239
200509,4.14,108.29,1.365,22588,473891487
200510,4.07,103.24,1.388,22623,489916636
200511,3.94,101.64,1.387,22797,493581930
200512,3.86,111.16,1.406,23209,487276765
200601,3.8,228.58,1.446,23666,471954621
200602,3.92,123.83,1.449,23709,480422386
200603,3.87,98.31,1.45,23713,486574682
200604,3.78,103.77,1.516,23854,489945821
200605,3.84,103.58,1.517,24030,500031082
200606,3.98,104.91,1.533,24071,505577511
200607,4.05,109.13,1.586,23988,513404930
200608,4.09,101.7,1.587,24053,511625391
200609,3.96,106.99,1.595,24195,527222785
200610,3.9,105.81,1.658,24182,529393113
