year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
102,三峽,38541,107937,1.02828096812989,191.4508,575,526,394,2.80057600996342,132,2073,108973.5,0.019022973475203,7
102,三芝,9082,23477,1.06228039353479,65.9909,356,112,112,2.58500330323717,0,-13,23470.5,-0.000553886794061,4.475321797
102,三重,144354,390207,0.984342183550902,16.317,23890,1198,1570,2.70312564944511,-372,-394,390010,-0.00101023050691,7.25987718985566
102,中和,159804,416503,0.964849960137185,20.144,20639,1603,1839,2.60633651222748,-236,-761,416122.5,-0.001828788397647,7.56
102,中山,96120,227037,0.881205100797932,13.6821,16719,15879,14887,2.36201622971286,992,1716,227895,0.007529783452906,7.99
102,中正,63976,162295,0.924385790172643,7.6071,21446,12093,11653,2.53681067900463,440,845,162717.5,0.00519304930324,6.39
102,五股,28307,81302,1.02284036624204,34.8632,2345,322,358,2.8721517645812,-36,442,81523,0.005421782809759,6.72520540716333
102,信義,88041,227907,0.925280462255863,11.2077,20387,12254,12360,2.58864619893004,-106,589,228201.5,0.002581052271786,7.45
102,內湖,102277,280219,0.925268639898865,31.5787,8957,15559,14384,2.73980464816137,1175,2623,281530.5,0.009316930137232,7.15
102,八里,12978,35744,1.01431389123697,39.4933,917,161,147,2.75419941439359,14,457,35972.5,0.01270414900271,6.284586079
102,北投,92776,254180,0.941461328119033,56.8216,4496,12039,11876,2.73971716823316,163,1264,254812,0.00496051991272,6.94
102,南港,44255,118540,0.958367751528168,21.8424,5483,7458,6878,2.67856739351486,580,1212,119146,0.010172393533984,7.71
102,土城,84507,239694,0.990136249283882,29.5578,8095,852,1000,2.83638041819021,-148,-436,239476,-0.001820641734454,7.19
102,坪林,2478,6471,1.25706313219393,170.835,38,12,18,2.61138014527845,-6,-11,6465.5,-0.001701337870234,3.55404465734374
102,士林,104103,289164,0.941297313264498,62.3682,4646,13736,13880,2.77767211319559,-144,578,289453,0.001996869958162,7.38
102,大同,49858,128921,0.963941868259095,5.6815,22850,7989,7395,2.58576356853464,594,899,129370.5,0.006949033976061,7.05
102,大安,118946,313542,0.884606599747551,11.3614,27581,19017,19998,2.63600289206867,-981,-179,313452.5,-0.000571059410916,6.53
102,平溪,2387,5102,1.2455985915493,71.3382,70,10,20,2.13741097612065,-10,-100,5052,-0.019794140934283,1.78023934328949
102,文山,100854,269516,0.934149527076486,31.509,8612,13841,12916,2.67233823150296,925,1825,270428.5,0.006748549061952,6.57
102,新店,119432,297653,0.948182085937756,120.2255,2487,1138,1284,2.49223826110255,-146,1364,298335,0.004572041496975,6.83813399390602
102,新莊,142172,407370,0.9695885509839,19.7383,20760,1422,1233,2.86533213290943,189,2390,408565,0.005849742391052,7.27742870715451
102,松山,79641,211009,0.899629993067997,9.2878,22647,12056,13174,2.6495021408571,-1118,-666,210676,-0.003161252349579,6.15
102,板橋,202011,557417,0.968266467044724,23.1373,24070,1733,2065,2.75933983792962,-332,-497,557168.5,-0.000892010226709,7.306435981191
102,林口,34120,90171,0.968326384492807,54.1519,1738,654,365,2.64276084407972,289,3937,92139.5,0.042728688564622,7.58720393056295
102,樹林,63651,182197,1.00606674520771,33.1288,5536,795,680,2.86243735369436,115,1210,182802,0.006619183597554,7.17
102,永和,90473,230745,0.916407125949919,5.7138,40089,1003,1064,2.55042940987919,-61,-1683,229903.5,-0.007320462715879,6.53719852989148
102,汐止,82041,192816,0.97448133204989,71.2354,2726,857,809,2.35023951438915,48,1384,193508,0.007152159083862,7.35119263019676
102,泰山,26984,77682,0.998610682309355,19.1603,4068,342,325,2.87881707678624,17,257,77810.5,0.003302896138696,7.30283627761064
102,淡水,62877,151096,0.937674728769653,70.6565,2197,881,560,2.40304085754727,321,4145,153168.5,0.027061700023177,7.32
102,深坑,9192,23547,1.01359671626475,20.5787,1148,115,101,2.56168407310705,14,75,23584.5,0.003180054696941,6.27
102,烏來,1760,5975,1.00301709688233,321.1306,19,22,24,3.39488636363636,-2,61,6005.5,0.010157355757223,8.6587294979602
102,瑞芳,15975,41627,1.03028825049993,70.7336,587,144,159,2.60575899843506,-15,-137,41558.5,-0.003296557864216,6.28105935721419
102,石碇,3349,7882,1.22907239819005,144.3498,54,23,35,2.35353836966259,-12,-34,7865,-0.004322949777495,3.30368487928844
102,石門,4243,12788,1.0974249630966,51.2645,250,51,73,3.0139052557153,-22,6,12791,0.00046907982175,5.001562988
102,萬華,76559,192703,0.984439844707385,8.8522,21857,10766,10327,2.51705220810094,439,777,193091.5,0.004023998984937,7.51
102,萬里,7274,22455,1.03139135154695,63.3766,357,55,100,3.08702227110256,-45,163,22536.5,0.007232711379318,5.816147579
102,蘆洲,67499,199615,0.974216455182918,7.4351,26822,666,789,2.95730307115661,-123,-189,199520.5,-0.00094727108242,7.23460578166832
102,貢寮,4467,13396,1.05870600891348,99.9734,133,32,39,2.99888068054623,-7,-90,13351,-0.006741068084788,3.96736282655887
102,金山,6918,22469,0.994584997780737,49.2132,455,45,68,3.24790401850246,-23,-77,22430.5,-0.003432825839816,4.946745
102,雙溪,3846,9474,1.16697163769442,146.2484,64,51,36,2.46333853354134,15,-62,9443,-0.006565710049772,4.02606346347407
102,鶯歌,28584,88427,1.01460369535006,21.1248,4196,317,371,3.09358382311783,-54,210,88532,0.002372023675055,7.39095794273703
103,三峽,39480,110072,1.02282458880823,191.4508,583,546,465,2.78804457953394,81,1516,110830,0.013678606875395,6.6
103,三芝,9190,23459,1.06305514026911,65.9909,356,98,114,2.55266594124048,-16,21,23469.5,0.000894778329321,5.28289025221541
103,三重,145798,389762,0.981645872100709,16.317,23860,1262,1629,2.67330141702904,-367,-437,389543.5,-0.001121825932149,7.16432775708539
103,中和,160971,415742,0.9604091121286,20.144,20613,1744,2127,2.58271365649713,-383,-516,415484,-0.001241925080147,7.49
103,中山,97352,228926,0.878829660634413,13.6821,16847,15164,14601,2.35152847399129,563,1570,229711,0.006834674874081,7.57
103,中正,64607,163235,0.920411764705882,7.6071,21478,12060,12347,2.52658380670825,-287,153,163311.5,0.000936859927194,6.43
103,五股,28761,81763,1.02028613080972,34.8632,2359,368,383,2.84284273843051,-15,492,82009,0.005999341535685,6.43906365282715
103,信義,88435,228621,0.922897707201373,11.2077,20491,12301,12176,2.58518686040595,125,1036,229139,0.0045212731137,7.2
103,內湖,103858,283085,0.922061080104833,31.5787,9049,14762,13639,2.72569277282443,1123,2682,284426,0.009429517695288,7.28
103,八里,13334,36299,1.01303238686779,39.4933,942,149,162,2.72228888555572,-13,888,36743,0.024167868709686,7.136755669
103,北投,93862,255586,0.938680926916221,56.8216,4532,12217,11393,2.72299759220984,824,1934,256553,0.007538403370843,7.14
103,南港,45109,119955,0.958193215580006,21.8424,5551,7395,6614,2.65922543173203,781,1302,120606,0.0107954828118,7.88
103,土城,84968,239172,0.985818664895384,29.5578,8095,862,1010,2.81484794275492,-148,98,239221,0.000409663031256,7.15
103,坪林,2473,6463,1.27410274454609,170.835,38,17,38,2.61342498989082,-21,-8,6459,-0.001238581823812,4.49090205187766
103,士林,104779,289898,0.939882629265061,62.3682,4657,13135,13713,2.76675669742983,-578,557,290176.5,0.001919521394737,7.38
103,大同,50580,129949,0.959512643816819,5.6815,23053,7858,7360,2.56917754052985,498,1024,130461,0.007849088999778,7.3
103,大安,119437,313461,0.882038257862315,11.3614,27610,18975,19518,2.62448822391721,-543,232,313577,0.000739850180338,6.8
103,平溪,2375,4996,1.24438454627134,71.3382,69,31,21,2.10357894736842,10,-42,4975,-0.008442211055276,4.62032944957814
103,文山,101965,271555,0.931483562598688,31.509,8693,14195,12760,2.66321777080371,1435,2366,272738,0.008674992116977,6.78
103,新店,121127,299042,0.942853059076527,120.2255,2493,1385,1494,2.46883023603325,-109,688,299386,0.00229803664834,6.90107841876452
103,新莊,144708,409864,0.966472513026206,19.7383,20858,1327,1497,2.83235204688061,-170,1847,410787.5,0.004496241974257,7.37214095202387
103,松山,79797,210411,0.897320985761819,9.2878,22661,12024,12675,2.63682845219745,-651,62,210442,0.000294617994507,6.3
103,板橋,203607,556933,0.963866850029973,23.1373,24027,1788,2170,2.73533326457342,-382,-1019,556423.5,-0.001831338899238,7.17088083218162
103,林口,36219,94440,0.965125473386325,54.1519,1803,571,507,2.60747121676468,64,3205,96042.5,0.033370643204831,7.31148925962045
