year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
2013,三峽,38541,107937,1.0282809681298857,191.4508,575,526,394,2.8005760099634154,132,2073,108973.5,0.0190229734752026,7.0
2013,三芝,9082,23477,1.0622803935347858,65.9909,356,112,112,2.5850033032371726,0,-13,23470.5,-0.0005538867940606,4.475321797
2013,三重,144354,390207,0.984342183550902,16.317,23890,1198,1570,2.703125649445114,-372,-394,390010.0,-0.00101023050691,7.25987718985566
2013,中和,159804,416503,0.9648499601371848,20.144,20639,1603,1839,2.606336512227479,-236,-761,416122.5,-0.0018287883976473,7.56
2013,中山,96120,227037,0.8812051007979318,13.6821,16719,15879,14887,2.362016229712859,992,1716,227895.0,0.0075297834529059,7.99
2013,中正,63976,162295,0.9243857901726428,7.6071,21446,12093,11653,2.5368106790046268,440,845,162717.5,0.0051930493032402,6.39
2013,五股,28307,81302,1.0228403662420382,34.8632,2345,322,358,2.872151764581199,-36,442,81523.0,0.0054217828097592,6.72520540716333
2013,信義,88041,227907,0.9252804622558628,11.2077,20387,12254,12360,2.588646198930044,-106,589,228201.5,0.0025810522717861,7.45
2013,內湖,102277,280219,0.925268639898865,31.5787,8957,15559,14384,2.739804648161366,1175,2623,281530.5,0.009316930137232,7.15
2013,八里,12978,35744,1.0143138912369682,39.4933,917,161,147,2.754199414393589,14,457,35972.5,0.0127041490027104,6.284586079
2013,北投,92776,254180,0.9414613281190328,56.8216,4496,12039,11876,2.739717168233164,163,1264,254812.0,0.0049605199127199,6.94
2013,南港,44255,118540,0.958367751528168,21.8424,5483,7458,6878,2.6785673935148573,580,1212,119146.0,0.0101723935339835,7.71
2013,土城,84507,239694,0.9901362492838818,29.5578,8095,852,1000,2.8363804181902093,-148,-436,239476.0,-0.0018206417344535,7.19
2013,坪林,2478,6471,1.257063132193931,170.835,38,12,18,2.61138014527845,-6,-11,6465.5,-0.0017013378702343,3.55404465734374
2013,士林,104103,289164,0.9412973132644976,62.3682,4646,13736,13880,2.7776721131955853,-144,578,289453.0,0.0019968699581624,7.38
2013,大同,49858,128921,0.9639418682590946,5.6815,22850,7989,7395,2.5857635685346385,594,899,129370.5,0.006949033976061,7.05
2013,大安,118946,313542,0.8846065997475506,11.3614,27581,19017,19998,2.63600289206867,-981,-179,313452.5,-0.0005710594109155,6.53
2013,平溪,2387,5102,1.2455985915492958,71.3382,70,10,20,2.1374109761206537,-10,-100,5052.0,-0.0197941409342834,1.78023934328949
2013,文山,100854,269516,0.934149527076486,31.509,8612,13841,12916,2.6723382315029647,925,1825,270428.5,0.0067485490619516,6.57
2013,新店,119432,297653,0.9481820859377555,120.2255,2487,1138,1284,2.492238261102552,-146,1364,298335.0,0.0045720414969748,6.83813399390602
2013,新莊,142172,407370,0.9695885509838998,19.7383,20760,1422,1233,2.8653321329094337,189,2390,408565.0,0.0058497423910516,7.27742870715451
2013,松山,79641,211009,0.8996299930679966,9.2878,22647,12056,13174,2.649502140857096,-1118,-666,210676.0,-0.0031612523495794,6.15
2013,板橋,202011,557417,0.9682664670447244,23.1373,24070,1733,2065,2.759339837929618,-332,-497,557168.5,-0.0008920102267087,7.306435981191
2013,林口,34120,90171,0.9683263844928074,54.1519,1738,654,365,2.6427608440797186,289,3937,92139.5,0.0427286885646221,7.58720393056295
2013,樹林,63651,182197,1.0060667452077117,33.1288,5536,795,680,2.8624373536943644,115,1210,182802.0,0.0066191835975536,7.17
2013,永和,90473,230745,0.916407125949919,5.7138,40089,1003,1064,2.5504294098791904,-61,-1683,229903.5,-0.0073204627158786,6.53719852989148
2013,汐止,82041,192816,0.9744813320498904,71.2354,2726,857,809,2.350239514389147,48,1384,193508.0,0.0071521590838621,7.35119263019676
2013,泰山,26984,77682,0.9986106823093548,19.1603,4068,342,325,2.878817076786244,17,257,77810.5,0.0033028961386959,7.30283627761064
2013,淡水,62877,151096,0.937674728769653,70.6565,2197,881,560,2.403040857547275,321,4145,153168.5,0.027061700023177,7.32
2013,深坑,9192,23547,1.0135967162647512,20.5787,1148,115,101,2.56168407310705,14,75,23584.5,0.0031800546969407,6.27
2013,烏來,1760,5975,1.003017096882333,321.1306,19,22,24,3.394886363636364,-2,61,6005.5,0.0101573557572225,8.6587294979602
2013,瑞芳,15975,41627,1.030288250499927,70.7336,587,144,159,2.605758998435055,-15,-137,41558.5,-0.0032965578642155,6.28105935721419
