,year,area,population_density, county,district
1,102,23.1373,24070,新北市,板橋
2,102,16.317,23890,新北市,三重
3,102,20.144,20639,新北市,中和
4,102,5.7138,40089,新北市,永和
5,102,19.7383,20760,新北市,新莊
6,102,120.2255,2487,新北市,新店
7,102,33.1288,5536,新北市,樹林
8,102,21.1248,4196,新北市,鶯歌
9,102,191.4508,575,新北市,三峽
10,102,70.6565,2197,新北市,淡水
11,102,71.2354,2726,新北市,汐止
12,102,70.7336,587,新北市,瑞芳
13,102,29.5578,8095,新北市,土城
14,102,7.4351,26822,新北市,蘆洲
15,102,34.8632,2345,新北市,五股
16,102,19.1603,4068,新北市,泰山
17,102,54.1519,1738,新北市,林口
18,102,20.5787,1148,新北市,深坑
19,102,144.3498,54,新北市,石碇
20,102,170.835,38,新北市,坪林
21,102,65.9909,356,新北市,三芝
22,102,51.2645,250,新北市,石門
23,102,39.4933,917,新北市,八里
24,102,71.3382,70,新北市,平溪
25,102,146.2484,64,新北市,雙溪
26,102,99.9734,133,新北市,貢寮
27,102,49.2132,455,新北市,金山
28,102,63.3766,357,新北市,萬里
29,102,321.1306,19,新北市,烏來
30,102,9.2878,22647,臺北市,松山
31,102,11.2077,20387,臺北市,信義
32,102,11.3614,27581,臺北市,大安
33,102,13.6821,16719,臺北市,中山
34,102,7.6071,21446,臺北市,中正
35,102,5.6815,22850,臺北市,大同
36,102,8.8522,21857,臺北市,萬華
37,102,31.509,8612,臺北市,文山
38,102,21.8424,5483,臺北市,南港
39,102,31.5787,8957,臺北市,內湖
40,102,62.3682,4646,臺北市,士林
41,102,56.8216,4496,臺北市,北投
376,103,23.1373,24027,新北市,板橋
377,103,16.317,23860,新北市,三重
378,103,20.144,20613,新北市,中和
379,103,5.7138,39775,新北市,永和
380,103,19.7383,20858,新北市,新莊
381,103,120.2255,2493,新北市,新店
382,103,33.1288,5559,新北市,樹林
383,103,21.1248,4217,新北市,鶯歌
384,103,191.4508,583,新北市,三峽
385,103,70.6565,2250,新北市,淡水
386,103,71.2354,2739,新北市,汐止
387,103,70.7336,584,新北市,瑞芳
388,103,29.5578,8095,新北市,土城
389,103,7.4351,26866,新北市,蘆洲
390,103,34.8632,2359,新北市,五股
391,103,19.1603,4090,新北市,泰山
392,103,54.1519,1803,新北市,林口
393,103,20.5787,1149,新北市,深坑
394,103,144.3498,54,新北市,石碇
395,103,170.835,38,新北市,坪林
396,103,65.9909,356,新北市,三芝
397,103,51.2645,248,新北市,石門
398,103,39.4933,942,新北市,八里
399,103,71.3382,69,新北市,平溪
400,103,146.2484,65,新北市,雙溪
401,103,99.9734,131,新北市,貢寮
402,103,49.2132,455,新北市,金山
403,103,63.3766,358,新北市,萬里
404,103,321.1306,19,新北市,烏來
