district,in,year,out
松山,12056,102,13174
信義,12254,102,12360
大安,19017,102,19998
中山,15879,102,14887
中正,12093,102,11653
大同,7989,102,7395
萬華,10766,102,10327
文山,13841,102,12916
南港,7458,102,6878
內湖,15559,102,14384
士林,13736,102,13880
北投,12039,102,11876
松山,12024,103,12675
信義,12301,103,12176
大安,18975,103,19518
中山,15164,103,14601
中正,12060,103,12347
大同,7858,103,7360
萬華,11095,103,10433
文山,14195,103,12760
南港,7395,103,6614
內湖,14762,103,13639
士林,13135,103,13713
北投,12217,103,11393
松山,10899,104,12321
信義,10772,104,12223
大安,16960,104,18604
中山,13414,104,13622
中正,10348,104,11828
大同,7067,104,7556
萬華,9111,104,9955
文山,12545,104,12511
南港,6696,104,6473
內湖,13328,104,13435
士林,11936,104,13015
北投,10653,104,11572
松山,10732,105,12756
信義,9814,105,11977
大安,16277,105,18658
中山,12845,105,13872
中正,9774,105,12345
大同,6322,105,7674
萬華,9292,105,10396
文山,11921,105,13073
南港,6327,105,6746
內湖,12154,105,13698
士林,11394,105,13320
北投,10229,105,11682
松山,10168,106,11911
信義,9289,106,11918
大安,16253,106,18244
中山,12411,106,13555
中正,10315,106,11526
大同,6313,106,7451
萬華,8471,106,10404
文山,11369,106,13075
南港,5828,106,6775
內湖,11820,106,13286
士林,10762,106,13139
北投,9674,106,11411
松山,10685,107,12188
信義,10022,107,12687
大安,17091,107,18500
中山,12690,107,14401
中正,10750,107,11609
大同,6565,107,8373
萬華,8814,107,11012
文山,11807,107,13136
南港,6318,107,7220
內湖,12140,107,13716
士林,11103,107,13395
北投,10301,107,11681
松山,10806,108,12519
信義,9174,108,12705
大安,17392,108,18711
中山,12238,108,14642
中正,11214,108,12361
大同,6522,108,8193
萬華,8634,108,11073
文山,11705,108,14005
南港,5676,108,7417
內湖,11784,108,14540
士林,10483,108,13957
北投,9908,108,12386
松山,9945,109,13888
信義,8450,109,13385
大安,15634,109,20773
中山,11645,109,15366
中正,10597,109,13265
大同,6489,109,8670
萬華,8007,109,11627
文山,10677,109,14520
南港,5978,109,7676
內湖,11131,109,15237
士林,9693,109,14888
北投,9316,109,12707
松山,9077,110,15810
信義,7986,110,15538
大安,13833,110,24692
中山,10745,110,18945
中正,9252,110,13938
大同,6435,110,9255
萬華,6829,110,12506
文山,9712,110,16149
南港,5365,110,8328
內湖,10927,110,17347
士林,8966,110,17424
北投,8931,110,14223
板橋,1733,102,2065
三重,1198,102,1570
中和,1603,102,1839
永和,1003,102,1064
新莊,1422,102,1233
新店,1138,102,1284
土城,852,102,1000
蘆洲,666,102,789
樹林,795,102,680
鶯歌,317,102,371
三峽,526,102,394
淡水,881,102,560
汐止,857,102,809
瑞芳,144,102,159
五股,322,102,358
泰山,342,102,325
林口,654,102,365
八里,161,102,147
深坑,115,102,101
石碇,23,102,35
坪林,12,102,18
三芝,112,102,112
石門,51,102,73
金山,45,102,68
萬里,55,102,100
平溪,10,102,20
雙溪,51,102,36
貢寮,32,102,39
烏來,22,102,24
板橋,1788,103,2170
三重,1262,103,1629
中和,1744,103,2127
永和,1049,103,1109
新莊,1327,103,1497
新店,1385,103,1494
土城,862,103,1010
蘆洲,678,103,854
樹林,707,103,768
鶯歌,304,103,354
三峽,546,103,465
淡水,839,103,594
汐止,869,103,926
瑞芳,152,103,141
五股,368,103,383
泰山,349,103,348
林口,571,103,507
八里,149,103,162
深坑,91,103,125
石碇,67,103,47
坪林,17,103,38
三芝,98,103,114
石門,54,103,89
金山,67,103,89
萬里,89,103,125
平溪,31,103,21
雙溪,50,103,38
貢寮,40,103,56
烏來,29,103,40
板橋,1618,104,2047
三重,1249,104,1318
中和,1574,104,1816
永和,912,104,1036
新莊,1240,104,1387
新店,1132,104,1334
土城,758,104,934
蘆洲,609,104,719
樹林,677,104,745
鶯歌,266,104,499
三峽,516,104,409
淡水,812,104,596
汐止,800,104,781
瑞芳,119,104,157
五股,306,104,321
泰山,267,104,303
林口,519,104,406
八里,144,104,149
深坑,82,104,122
石碇,12,104,32
坪林,22,104,19
三芝,148,104,134
石門,87,104,112
金山,58,104,66
萬里,74,104,120
平溪,18,104,19
雙溪,35,104,43
貢寮,27,104,48
烏來,12,104,30
板橋,1372,105,1712
三重,1116,105,1108
中和,1309,105,1415
永和,734,105,845
新莊,1098,105,1160
新店,977,105,1131
土城,635,105,726
蘆洲,558,105,610
樹林,607,105,687
鶯歌,222,105,304
三峽,419,105,302
淡水,686,105,424
汐止,711,105,648
瑞芳,105,105,132
五股,332,105,269
泰山,264,105,226
林口,535,105,317
八里,146,105,103
深坑,59,105,86
石碇,21,105,37
坪林,25,105,22
三芝,58,105,79
石門,40,105,41
金山,44,105,61
萬里,49,105,86
平溪,12,105,33
雙溪,29,105,29
貢寮,27,105,30
烏來,13,105,21
板橋,1326,106,1499
三重,970,106,1102
中和,1215,106,1320
永和,713,106,864
新莊,1200,106,1101
新店,1078,106,975
土城,681,106,682
蘆洲,643,106,556
樹林,597,106,599
鶯歌,278,106,287
三峽,353,106,315
淡水,622,106,458
汐止,724,106,645
瑞芳,109,106,127
五股,322,106,250
泰山,234,106,246
林口,489,106,329
八里,97,106,153
深坑,84,106,80
石碇,12,106,31
坪林,19,106,24
三芝,63,106,67
石門,19,106,38
金山,43,106,57
萬里,64,106,70
平溪,10,106,7
雙溪,18,106,22
貢寮,34,106,38
烏來,19,106,24
板橋,1790,107,1688
三重,1145,107,1422
中和,1332,107,1520
永和,799,107,1009
新莊,1258,107,1374
新店,981,107,1103
土城,665,107,815
蘆洲,605,107,722
樹林,562,107,738
鶯歌,340,107,391
三峽,498,107,443
淡水,807,107,561
汐止,737,107,718
瑞芳,107,107,136
五股,392,107,297
泰山,272,107,267
林口,592,107,393
八里,155,107,130
深坑,98,107,75
石碇,32,107,33
坪林,22,107,10
三芝,74,107,97
石門,42,107,25
金山,49,107,80
萬里,67,107,77
平溪,21,107,15
雙溪,46,107,34
貢寮,13,107,44
烏來,43,107,30
板橋,1806,108,1695
三重,1186,108,1328
中和,1451,108,1447
永和,829,108,896
新莊,1333,108,1218
新店,1181,108,1042
土城,712,108,736
蘆洲,708,108,694
樹林,655,108,693
鶯歌,325,108,310
三峽,397,108,363
淡水,976,108,522
汐止,878,108,721
瑞芳,98,108,143
五股,462,108,311
泰山,271,108,302
林口,880,108,437
八里,136,108,136
深坑,85,108,115
石碇,12,108,34
坪林,31,108,16
三芝,69,108,72
石門,39,108,65
金山,33,108,60
萬里,84,108,82
平溪,20,108,23
雙溪,20,108,35
貢寮,26,108,33
烏來,14,108,32
板橋,1547,109,1578
三重,1178,109,1217
中和,1364,109,1378
永和,720,109,758
新莊,1290,109,1235
新店,943,109,1004
土城,783,109,758
蘆洲,625,109,682
樹林,539,109,583
鶯歌,378,109,283
三峽,385,109,399
淡水,822,109,459
汐止,861,109,634
瑞芳,96,109,136
五股,452,109,235
泰山,235,109,316
林口,870,109,391
八里,141,109,116
深坑,83,109,78
石碇,16,109,29
坪林,13,109,11
三芝,70,109,64
石門,18,109,41
金山,19,109,71
萬里,50,109,75
平溪,11,109,13
雙溪,20,109,24
貢寮,19,109,35
烏來,24,109,36
板橋,1802,110,1960
三重,1120,110,1335
中和,1539,110,1721
永和,850,110,901
新莊,1443,110,1451
新店,1062,110,1297
土城,792,110,854
蘆洲,643,110,701
樹林,619,110,725
鶯歌,391,110,321
三峽,423,110,431
淡水,891,110,750
汐止,875,110,795
瑞芳,69,110,100
五股,469,110,295
泰山,195,110,371
林口,897,110,543
八里,179,110,153
深坑,106,110,108
石碇,10,110,36
坪林,28,110,25
三芝,82,110,80
石門,19,110,49
金山,53,110,56
萬里,51,110,83
平溪,18,110,12
雙溪,11,110,30
貢寮,13,110,43
烏來,18,110,40
