date,district,marry_rate
102, 松山區,6.15
102, 信義區,7.45
102, 大安區,6.53
102, 中山區,7.99
102, 中正區,6.39
102, 大同區,7.05
102, 萬華區,7.51
102, 文山區,6.57
102, 南港區,7.71
102, 內湖區,7.15
102, 士林區,7.38
102, 北投區,6.94
103, 松山區,6.3
103, 信義區,7.2
103, 大安區,6.8
103, 中山區,7.57
103, 中正區,6.43
103, 大同區,7.3
103, 萬華區,7.48
103, 文山區,6.78
103, 南港區,7.88
103, 內湖區,7.28
103, 士林區,7.38
103, 北投區,7.14
104, 松山區,6.16
104, 信義區,7.29
104, 大安區,6.2
104, 中山區,7.34
104, 中正區,6.78
104, 大同區,6.93
104, 萬華區,7.07
104, 文山區,6.67
104, 南港區,7.65
104, 內湖區,7.64
104, 士林區,7.26
104, 北投區,6.67
105, 松山區,5.99
105, 信義區,7.08
105, 大安區,5.8
105, 中山區,7.16
105, 中正區,5.87
105, 大同區,6.79
105, 萬華區,6.85
105, 文山區,6.16
105, 南港區,7.31
105, 內湖區,7.02
105, 士林區,6.92
105, 北投區,6.51
106, 松山區,5.16
106, 信義區,6.67
106, 大安區,5.39
106, 中山區,6.69
106, 中正區,4.94
106, 大同區,6.23
106, 萬華區,6.21
106, 文山區,5.62
106, 南港區,6.61
106, 內湖區,6.44
106, 士林區,6.22
106, 北投區,6.05
107, 松山區,5.02
107, 信義區,5.91
107, 大安區,5.22
107, 中山區,6.08
107, 中正區,4.68
107, 大同區,5.75
107, 萬華區,5.99
107, 文山區,5.68
107, 南港區,5.87
107, 內湖區,6.11
107, 士林區,5.99
107, 北投區,5.6
108, 松山區,4.98
108, 信義區,5.89
108, 大安區,5.17
108, 中山區,5.86
108, 中正區,4.93
108, 大同區,5.87
108, 萬華區,5.82
108, 文山區,5.23
108, 南港區,5.83
108, 內湖區,5.85
108, 士林區,5.77
108, 北投區,5.89
109, 松山區,4.25
109, 信義區,5.37
109, 大安區,4.42
109, 中山區,5.48
109, 中正區,4.15
109, 大同區,4.57
109, 萬華區,5.15
109, 文山區,4.53
109, 南港區,5.35
109, 內湖區,5.22
109, 士林區,5.07
109, 北投區,4.76
110, 松山區,3.68
110, 信義區,4.94
110, 大安區,3.99
110, 中山區,4.73
110, 中正區,3.88
110, 大同區,3.85
110, 萬華區,4.5
110, 文山區,4.14
110, 南港區,4.85
110, 內湖區,4.84
110, 士林區,4.85
110, 北投區,4.42
