year,district,household,pop,sex_ratio
102,板橋,202011,557417,0.9682664670447243
102,三重,144354,390207,0.9843421835509019
102,中和,159804,416503,0.9648499601371847
102,永和,90473,230745,0.916407125949919
102,新莊,142172,407370,0.9695885509838998
102,新店,119432,297653,0.9481820859377557
102,土城,84507,239694,0.9901362492838818
102,蘆洲,67499,199615,0.9742164551829178
102,樹林,63651,182197,1.0060667452077117
102,鶯歌,28584,88427,1.014603695350056
102,三峽,38541,107937,1.0282809681298857
102,淡水,62877,151096,0.937674728769653
102,汐止,82041,192816,0.9744813320498904
102,瑞芳,15975,41627,1.030288250499927
102,五股,28307,81302,1.0228403662420382
102,泰山,26984,77682,0.9986106823093548
102,林口,34120,90171,0.9683263844928074
102,八里,12978,35744,1.0143138912369682
102,深坑,9192,23547,1.0135967162647512
102,石碇,3349,7882,1.2290723981900453
102,坪林,2478,6471,1.257063132193931
102,三芝,9082,23477,1.0622803935347858
102,石門,4243,12788,1.0974249630966049
102,金山,6918,22469,0.9945849977807368
102,萬里,7274,22455,1.0313913515469513
102,平溪,2387,5102,1.2455985915492958
102,雙溪,3846,9474,1.166971637694419
102,貢寮,4467,13396,1.0587060089134779
102,烏來,1760,5975,1.0030170968823333
103,板橋,203607,556933,0.9638668500299729
103,三重,145798,389762,0.9816458721007087
103,中和,160971,415742,0.9604091121285997
103,永和,90616,229042,0.9119495805334112
103,新莊,144708,409864,0.966472513026206
103,新店,121127,299042,0.9428530590765273
103,土城,84968,239172,0.9858186648953836
103,蘆洲,68171,199447,0.972613443050995
103,樹林,64366,183553,1.0031757811221094
103,鶯歌,28909,88684,1.0081518047189892
103,三峽,39480,110072,1.022824588808233
103,淡水,65669,155547,0.9326690108470111
103,汐止,83204,194115,0.9669166075590232
103,瑞芳,16021,41450,1.0242222981882112
103,五股,28761,81763,1.0202861308097155
103,泰山,27308,78014,0.9950388707037643
103,林口,36219,94440,0.9651254733863248
103,八里,13334,36299,1.0130323868677906
103,深坑,9258,23583,1.0110002558199027
103,石碇,3361,7847,1.2254679523539422
103,坪林,2473,6463,1.2741027445460944
103,三芝,9190,23459,1.0630551402691055
103,石門,4259,12772,1.0859056018291686
103,金山,6930,22383,0.988009592326139
103,萬里,7319,22599,1.025
103,平溪,2375,4996,1.2443845462713388
103,雙溪,3853,9401,1.1676273922065945
103,貢寮,4451,13293,1.0501233806292412
103,烏來,1774,6040,0.9881500987491771
104,板橋,204905,555924,0.9598804168488148
104,三重,147493,389199,0.9769239755982344
104,中和,162394,415277,0.9563529638999204
104,永和,90680,227221,0.9095164462073718
104,新莊,147243,411913,0.962686780513837
104,新店,122812,299691,0.9378410883790704
104,土城,85566,239310,0.9821752491075201
104,蘆洲,68964,199739,0.9690164726294102
104,樹林,65068,184153,1.0011192610703614
104,鶯歌,29284,89136,1.0030561797752808
104,三峽,40380,111641,1.0178393912556256
104,淡水,68356,159187,0.9305924443635922
104,汐止,84200,195167,0.9622267800768133
104,瑞芳,16079,41280,1.0203602192638999
104,五股,29324,82255,1.01872576449222
104,泰山,27722,78491,0.9918034866901819
104,林口,37919,97887,0.9591113779645752
104,八里,13779,37226,1.0013978494623657
104,深坑,9326,23622,1.0067963639452893
104,石碇,3368,7865,1.2261534106991225
104,坪林,2484,6468,1.2631210636808958
104,三芝,9284,23490,1.0605263157894738
104,石門,4285,12730,1.0868852459016394
104,金山,7011,22396,0.9833510449876018
104,萬里,7376,22687,1.015726343847179
104,平溪,2356,4942,1.225123818099955
104,雙溪,3837,9413,1.1619200734956363
104,貢寮,4428,13097,1.0448087431693989
104,烏來,1799,6164,0.9845460399227302
105,板橋,205664,554008,0.9578744999363876
105,三重,148541,388386,0.9749110139326757
105,中和,163074,414356,0.9533300648664957
105,永和,90684,225353,0.9065881536756432
105,新莊,149167,413443,0.9601608169806043
105,新店,123906,300283,0.9354366741862713
105,土城,85921,238646,0.9795940374772921
105,蘆洲,69513,200055,0.9705192860801387
105,樹林,65445,184329,0.9989480875798423
105,鶯歌,29448,87931,1.0070072126358076
105,三峽,41190,112775,1.012222321348916
105,淡水,70441,162441,0.9268023628211515
105,汐止,85046,196150,0.9572722918496048
105,瑞芳,16127,40922,1.0208395061728395
105,五股,29996,82983,1.017480307303316
105,泰山,28018,78801,0.9895725503067639
105,林口,39211,100554,0.9590476932668329
105,八里,14035,37711,0.9956077684288511
105,深坑,9463,23614,1.003563549974546
105,石碇,3375,7857,1.228936170212766
105,坪林,2496,6503,1.2603406326034063
105,三芝,9360,23452,1.062258177981006
105,石門,4312,12645,1.0760137908389427
105,金山,7035,22273,0.9810548785911234
105,萬里,7406,22634,1.016212364154641
105,平溪,2351,4872,1.2358880220284534
105,雙溪,3843,9233,1.1755419415645618
105,貢寮,4406,12858,1.0406284716711633
105,烏來,1833,6182,0.989060489060489
106,板橋,206836,552220,0.9552247789741284
106,三重,150147,388544,0.9714139297474745
106,中和,164283,414190,0.9498175826762387
106,永和,90826,224086,0.9054931972789115
106,新莊,150819,414227,0.9559953346271716
106,新店,125299,301305,0.9306255045942101
106,土城,86539,238491,0.9755224770756193
106,蘆洲,70279,200760,0.9684861796111269
106,樹林,66078,184409,0.9970435667796537
106,鶯歌,29594,87163,1.005129974695192
106,三峽,42004,114215,1.007752210522615
106,淡水,72613,166063,0.9256806901989888
106,汐止,86040,197877,0.9544179523141655
106,瑞芳,16157,40581,1.0219730941704035
106,五股,30771,84171,1.0185376148109067
106,泰山,28238,78839,0.9887745320619545
106,林口,40638,103458,0.9503449835991403
106,八里,14323,38177,0.9931606975044377
106,深坑,9537,23667,1.002114880297775
106,石碇,3364,7735,1.2227011494252873
106,坪林,2519,6530,1.2493971753358595
106,三芝,9435,23349,1.056093694963015
106,石門,4301,12481,1.0722231446123194
106,金山,7070,22188,0.9768353528153956
106,萬里,7461,22471,1.0119079595308442
106,平溪,2328,4776,1.2317757009345793
106,雙溪,3817,9076,1.1759769839367058
106,貢寮,4413,12689,1.0429882466591531
106,烏來,1860,6225,0.975563313233894
107,板橋,208540,551452,0.9538822395600813
107,三重,151043,387125,0.9684288670697169
107,中和,165183,413291,0.9462085073720198
107,永和,90950,222531,0.9035525178994551
107,新莊,153411,416640,0.9533052039381154
107,新店,126697,302070,0.9263931227121411
107,土城,86936,237885,0.9747229485742747
107,蘆洲,71004,201313,0.9647960179582276
107,樹林,66459,184105,0.9951990809978976
107,鶯歌,29829,86577,1.0053970165848234
107,三峽,42717,115001,1.0054233150231058
107,淡水,74852,169741,0.9212772218952325
107,汐止,86983,199457,0.9523599772909692
107,瑞芳,16205,40310,1.0197414570598256
107,五股,31540,85042,1.0186574249905052
107,泰山,28485,78883,0.984927404947032
107,林口,42046,106316,0.947821626177128
107,八里,14599,38471,0.9959014267185473
107,深坑,9607,23662,1.0011840324763193
107,石碇,3375,7676,1.2197802197802199
107,坪林,2511,6521,1.244750430292599
107,三芝,9488,23186,1.0589645679779771
107,石門,4303,12284,1.0708024275118004
107,金山,7110,22028,0.9729511867442902
107,萬里,7485,22275,1.010379061371841
107,平溪,2298,4712,1.2470195517405818
107,雙溪,3816,8932,1.1764132553606237
107,貢寮,4398,12537,1.034566699123661
107,烏來,1866,6325,0.9740948813982522
108,板橋,212784,554854,0.9502639700248153
108,三重,151843,385725,0.965768189949088
108,中和,166138,412326,0.941326026158931
108,永和,91143,221101,0.9017641341464464
108,新莊,155690,417968,0.9516349696259391
108,新店,127781,302231,0.9234088320085533
108,土城,87223,236872,0.9707472918781304
108,蘆洲,71750,201363,0.9649579905734945
108,樹林,66705,183880,0.9942303103919484
108,鶯歌,30438,86438,1.0053359317000743
108,三峽,43271,115896,1.001070497435986
108,淡水,77508,173979,0.9182654141307224
108,汐止,88070,200775,0.949347547477572
108,瑞芳,16152,39952,1.0177777777777777
108,五股,32614,86452,1.015104190946809
108,泰山,28669,78716,0.9780374418896847
108,林口,44255,110688,0.944692364454127
108,八里,14896,38897,0.9961510828286976
108,深坑,9632,23656,1.0006765899864682
108,石碇,3403,7734,1.201537147736977
108,坪林,2527,6631,1.2214405360134004
108,三芝,9511,22941,1.0621123595505617
108,石門,4313,12092,1.0705479452054794
108,金山,7137,21746,0.9722474152004353
108,萬里,7497,22042,1.011865644395765
108,平溪,2290,4665,1.2471098265895955
108,雙溪,3797,8843,1.1748647319232661
108,貢寮,4361,12268,1.0371969445366989
108,烏來,1897,6458,0.9653073645769933
109,板橋,215365,557120,0.9478971088524567
109,三重,153239,386236,0.9633794225294835
109,中和,167648,413067,0.9375170032927755
109,永和,91318,220619,0.9004789552573093
109,新莊,157973,420684,0.9497413841048553
109,新店,129159,303624,0.9210994197928465
109,土城,88280,237762,0.9681307219840074
109,蘆洲,72504,202026,0.9613984330249221
109,樹林,67161,183906,0.9928480868632359
109,鶯歌,31070,86945,1.0032025436029768
109,三峽,43987,116587,0.9979949273375377
109,淡水,80388,179036,0.9172842150353395
109,汐止,89747,203621,0.9478925517056651
109,瑞芳,16150,39495,1.018140010219724
109,五股,33681,88165,1.0129455010388364
109,泰山,28819,78731,0.9747918129828433
109,林口,46559,116000,0.9452642876308023
109,八里,15281,39555,0.9950068088969587
109,深坑,9709,23714,0.9981462756993597
109,石碇,3407,7622,1.2041642567958357
109,坪林,2543,6698,1.2011173184357542
109,三芝,9549,22721,1.0578751924644507
109,石門,4284,11816,1.0795494544174586
109,金山,7149,21377,0.9696858011609694
109,萬里,7512,21840,1.005693819450822
109,平溪,2274,4533,1.240731586752348
