年,月,隸屬區,里數,鄰數,戶數,男,女,合計
107,1,板橋區,126,2512,208540,269218,282234,551452
107,1,三重區,119,2555,151043,190458,196667,387125
107,1,中和區,93,2998,165183,200934,212357,413291
107,1,永和區,62,1249,90950,105628,116903,222531
107,1,新莊區,84,1842,153411,203340,213300,416640
107,1,新店區,69,1482,126697,145264,156806,302070
107,1,土城區,47,1236,86936,117420,120465,237885
107,1,蘆洲區,38,727,71004,98853,102460,201313
107,1,樹林區,42,1039,66459,91831,92274,184105
107,1,鶯歌區,20,434,29829,43405,43172,86577
107,1,三峽區,28,608,42717,57656,57345,115001
107,1,淡水區,42,697,74852,81393,88348,169741
107,1,汐止區,50,1137,86983,97295,102162,199457
107,1,瑞芳區,34,426,16205,20352,19958,40310
107,1,五股區,20,515,31540,42914,42128,85042
107,1,泰山區,17,464,28485,39142,39741,78883
107,1,林口區,17,433,42046,51734,54582,106316
107,1,八里區,10,195,14599,19196,19275,38471
107,1,深坑區,8,239,9607,11838,11824,23662
107,1,石碇區,12,107,3375,4218,3458,7676
107,1,坪林區,7,78,2511,3616,2905,6521
107,1,三芝區,13,254,9488,11925,11261,23186
107,1,石門區,9,124,4303,6352,5932,12284
107,1,金山區,15,201,7110,10863,11165,22028
107,1,萬里區,10,186,7485,11195,11080,22275
107,1,平溪區,12,120,2298,2615,2097,4712
107,1,雙溪區,12,244,3816,4828,4104,8932
107,1,貢寮區,11,202,4398,6375,6162,12537
107,1,烏來區,5,43,1866,3121,3204,6325
總計,,,1032,22347,1543736,1952979,2033369,3986348
