year,district,marry_rate,household,pop,sex_ratio,Unnamed: 0,area,population_density, county,growth,g_ave,g_rate,in,out,family_pop,social_rate
102,板橋,7.306435981191,202011,557417,0.9682664670447244,1,23.1373,24070,新北市,-497,557168.5,-0.000892010226709,1733,2065,2.759339837929618,-332
102,三重,7.25987718985566,144354,390207,0.984342183550902,2,16.317,23890,新北市,-394,390010.0,-0.00101023050691,1198,1570,2.703125649445114,-372
102,中和,7.56,159804,416503,0.9648499601371848,3,20.144,20639,新北市,-761,416122.5,-0.001828788397647,1603,1839,2.606336512227479,-236
102,永和,6.53719852989148,90473,230745,0.916407125949919,4,5.7138,40089,新北市,-1683,229903.5,-0.007320462715879,1003,1064,2.5504294098791904,-61
102,新莊,7.27742870715451,142172,407370,0.9695885509838998,5,19.7383,20760,新北市,2390,408565.0,0.005849742391052,1422,1233,2.8653321329094337,189
102,新店,6.83813399390602,119432,297653,0.9481820859377555,6,120.2255,2487,新北市,1364,298335.0,0.004572041496975,1138,1284,2.492238261102552,-146
102,樹林,7.17,63651,182197,1.0060667452077117,7,33.1288,5536,新北市,1210,182802.0,0.006619183597554,795,680,2.8624373536943644,115
102,鶯歌,7.39095794273703,28584,88427,1.014603695350056,8,21.1248,4196,新北市,210,88532.0,0.002372023675055,317,371,3.0935838231178283,-54
102,三峽,7.0,38541,107937,1.0282809681298857,9,191.4508,575,新北市,2073,108973.5,0.019022973475203,526,394,2.8005760099634154,132
102,淡水,7.32,62877,151096,0.937674728769653,10,70.6565,2197,新北市,4145,153168.5,0.027061700023177,881,560,2.403040857547275,321
102,汐止,7.35119263019676,82041,192816,0.9744813320498904,11,71.2354,2726,新北市,1384,193508.0,0.007152159083862,857,809,2.350239514389147,48
102,瑞芳,6.28105935721419,15975,41627,1.030288250499927,12,70.7336,587,新北市,-137,41558.5,-0.003296557864216,144,159,2.605758998435055,-15
102,土城,7.19,84507,239694,0.9901362492838818,13,29.5578,8095,新北市,-436,239476.0,-0.001820641734454,852,1000,2.8363804181902093,-148
102,蘆洲,7.23460578166832,67499,199615,0.9742164551829178,14,7.4351,26822,新北市,-189,199520.5,-0.00094727108242,666,789,2.9573030711566095,-123
102,五股,6.72520540716333,28307,81302,1.0228403662420382,15,34.8632,2345,新北市,442,81523.0,0.005421782809759,322,358,2.872151764581199,-36
102,泰山,7.30283627761064,26984,77682,0.9986106823093548,16,19.1603,4068,新北市,257,77810.5,0.003302896138696,342,325,2.8788170767862438,17
102,林口,7.58720393056295,34120,90171,0.9683263844928074,17,54.1519,1738,新北市,3937,92139.5,0.042728688564622,654,365,2.6427608440797186,289
102,深坑,6.27,9192,23547,1.0135967162647512,18,20.5787,1148,新北市,75,23584.5,0.003180054696941,115,101,2.56168407310705,14
102,石碇,3.30368487928844,3349,7882,1.229072398190045,19,144.3498,54,新北市,-34,7865.0,-0.004322949777495,23,35,2.353538369662586,-12
102,坪林,3.55404465734374,2478,6471,1.257063132193931,20,170.835,38,新北市,-11,6465.5,-0.001701337870234,12,18,2.61138014527845,-6
102,烏來,8.6587294979602,1760,5975,1.003017096882333,29,321.1306,19,新北市,61,6005.5,0.010157355757223,22,24,3.3948863636363638,-2
102,三芝,4.475321797,9082,23477,1.0622803935347858,21,65.9909,356,新北市,-13,23470.5,-0.000553886794061,112,112,2.5850033032371726,0
102,石門,5.001562988,4243,12788,1.0974249630966049,22,51.2645,250,新北市,6,12791.0,0.00046907982175,51,73,3.013905255715296,-22
102,八里,6.284586079,12978,35744,1.0143138912369682,23,39.4933,917,新北市,457,35972.5,0.01270414900271,161,147,2.754199414393589,14
102,平溪,1.78023934328949,2387,5102,1.2455985915492958,24,71.3382,70,新北市,-100,5052.0,-0.019794140934283,10,20,2.1374109761206537,-10
102,雙溪,4.02606346347407,3846,9474,1.166971637694419,25,146.2484,64,新北市,-62,9443.0,-0.006565710049772,51,36,2.4633385335413416,15
102,貢寮,3.96736282655887,4467,13396,1.058706008913478,26,99.9734,133,新北市,-90,13351.0,-0.006741068084788,32,39,2.998880680546228,-7
102,金山,4.946745,6918,22469,0.9945849977807368,27,49.2132,455,新北市,-77,22430.5,-0.003432825839816,45,68,3.2479040185024575,-23
102,萬里,5.816147579,7274,22455,1.0313913515469513,28,63.3766,357,新北市,163,22536.5,0.007232711379318,55,100,3.087022271102557,-45
