statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
109,新北市板橋區,557114,23.1373,24079
109,新北市三重區,385328,16.317,23615
109,新北市中和區,411214,20.144,20414
109,新北市永和區,219364,5.7138,38392
109,新北市新莊區,422653,19.7383,21413
109,新北市新店區,303532,120.2255,2525
109,新北市樹林區,183470,33.1288,5538
109,新北市鶯歌區,87674,21.1248,4150
109,新北市三峽區,116917,191.4508,611
109,新北市淡水區,183278,70.6565,2594
109,新北市汐止區,205847,71.2354,2890
109,新北市瑞芳區,39077,70.7336,552
109,新北市土城區,238277,29.5578,8061
109,新北市蘆洲區,202456,7.4351,27230
109,新北市五股區,89470,34.8632,2566
109,新北市泰山區,78412,19.1603,4092
109,新北市林口區,121192,54.1519,2238
109,新北市深坑區,23723,20.5787,1153
109,新北市石碇區,7565,144.3498,52
109,新北市坪林區,6703,170.835,39
109,新北市三芝區,22540,65.9909,342
109,新北市石門區,11480,51.2645,224
109,新北市八里區,39741,39.4933,1006
109,新北市平溪區,4424,71.3382,62
109,新北市雙溪區,8468,146.2484,58
109,新北市貢寮區,11782,99.9734,118
109,新北市金山區,21127,49.2132,429
109,新北市萬里區,21710,63.3766,343
109,新北市烏來區,6416,321.1306,20
109,臺北市松山區,200316,9.2878,21568
109,臺北市信義區,215240,11.2077,19205
109,臺北市大安區,302644,11.3614,26638
109,臺北市中山區,223876,13.6821,16363
109,臺北市中正區,155397,7.6071,20428
109,臺北市大同區,123849,5.6815,21799
109,臺北市萬華區,183088,8.8522,20683
109,臺北市文山區,268130,31.509,8510
109,臺北市南港區,118758,21.8424,5437
109,臺北市內湖區,282525,31.5787,8947
109,臺北市士林區,278451,62.3682,4465
109,臺北市北投區,250144,56.8216,4402
109,桃園市桃園區,457245,34.8046,13137
109,桃園市中壢區,422471,76.52,5521
109,桃園市大溪區,95664,105.1206,910
109,桃園市楊梅區,175142,89.1229,1965
109,桃園市蘆竹區,167060,75.5025,2213
109,桃園市大園區,93887,87.3925,1074
109,桃園市龜山區,164398,72.0177,2283
109,桃園市八德區,209202,33.7111,6206
109,桃園市龍潭區,124408,75.2341,1654
109,桃園市平鎮區,228611,47.7532,4787
109,桃園市新屋區,49333,85.0166,580
109,桃園市觀音區,69032,87.9807,785
109,桃園市復興區,12354,350.7775,35
109,臺中市中區,18168,0.8803,20638
109,臺中市東區,75913,9.2855,8175
109,臺中市南區,126769,6.8101,18615
109,臺中市西區,114583,5.7042,20087
109,臺中市北區,146590,6.9376,21130
109,臺中市西屯區,231730,39.8467,5816
109,臺中市南屯區,176062,31.2578,5633
109,臺中市北屯區,287344,62.7034,4583
109,臺中市豐原區,166053,41.1845,4032
109,臺中市東勢區,49169,117.4065,419
109,臺中市大甲區,76130,58.5192,1301
109,臺中市清水區,88009,64.1709,1371
109,臺中市沙鹿區,95226,40.4604,2354
109,臺中市梧棲區,59273,16.6049,3570
109,臺中市后里區,54343,58.9439,922
109,臺中市神岡區,65529,35.0445,1870
109,臺中市潭子區,109309,25.8497,4229
109,臺中市大雅區,95693,32.4109,2952
109,臺中市新社區,24064,68.8874,349
109,臺中市石岡區,14670,18.2105,806
109,臺中市外埔區,31940,42.4099,753
109,臺中市大安區,18864,27.4045,688
109,臺中市烏日區,76494,43.4032,1762
109,臺中市大肚區,56777,37.0024,1534
109,臺中市龍井區,78095,38.0377,2053
109,臺中市霧峰區,65094,98.0779,664
