,date,district,growth,g_ave,g_rate
0,100,板橋,949,554860.5,0.001710339806131451
1,100,三重,590,390126.0,0.0015123319132792994
2,100,中和,720,414579.0,0.0017367015695440434
3,100,永和,-1910,233341.0,-0.008185445335367553
4,100,新莊,1965,403106.5,0.004874642309166437
5,100,新店,327,296417.5,0.0011031737329948467
6,100,土城,724,238794.0,0.0030319019740864513
7,100,蘆洲,591,198077.5,0.0029836806300564175
8,100,樹林,3297,178139.5,0.018507967070750732
9,100,鶯歌,823,87271.5,0.009430340947502908
10,100,三峽,2030,104614.0,0.01940466859120194
11,100,淡水,3069,145221.5,0.021133234403996653
12,100,汐止,1112,190123.0,0.005848845221251506
13,100,瑞芳,-362,42212.0,-0.00857576044726618
14,100,五股,526,80255.0,0.006554108778269267
15,100,泰山,545,76784.5,0.007097786662672805
16,100,林口,3099,85078.5,0.03642518380084275
17,100,八里,620,35113.0,0.017657277931250534
18,100,深坑,281,23390.5,0.012013424253436223
19,100,石碇,-63,7918.5,-0.007956052282629286
20,100,坪林,3,6531.5,0.00045931256219857613
21,100,三芝,33,23302.5,0.0014161570646926296
22,100,石門,122,12780.0,0.009546165884194054
23,100,金山,75,22409.5,0.003346794886097414
24,100,萬里,216,22096.0,0.009775524981897175
25,100,平溪,-122,5258.0,-0.02320273868391023
26,100,雙溪,-152,9631.0,-0.015782369432042365
27,100,貢寮,-182,13629.0,-0.01335387776065742
28,100,烏來,104,5875.0,0.01770212765957447
30,101,板橋,1956,556462.0,0.0035150648202392975
31,101,三重,-438,390309.0,-0.0011221878050467705
32,101,中和,1552,415723.0,0.003733255076096343
33,101,永和,-1518,231527.0,-0.006556470735594552
34,101,新莊,2733,405645.5,0.006737409881287972
35,101,新店,988,297143.0,0.0033249984014430763
36,101,土城,482,239476.0,0.0020127277890059966
37,101,蘆洲,1054,198963.0,0.0052974673683046595
38,101,樹林,2040,180992.0,0.011271216407355022
39,101,鶯歌,621,88025.5,0.007054773900744671
40,101,三峽,2038,106775.0,0.01908686490283306
41,101,淡水,3639,148867.5,0.02444455640082624
42,101,汐止,1972,191690.0,0.010287443267776097
43,101,瑞芳,-379,41806.5,-0.009065575927188357
44,101,五股,663,80893.5,0.00819596135659849
45,101,泰山,516,77359.0,0.00667019997673186
46,101,林口,3023,88374.5,0.03420669989646335
47,101,八里,310,35566.0,0.008716189619299331
48,101,深坑,16,23561.0,0.0006790883239251305
49,101,石碇,23,7883.5,0.0029174858882476057
50,101,坪林,-38,6502.0,-0.00584435558289757
51,101,三芝,144,23388.0,0.0061570035915854285
52,101,石門,-32,12814.0,-0.0024972686124551274
53,101,金山,46,22463.0,0.0020478119574411256
54,101,萬里,163,22347.5,0.007293880747287169
55,101,平溪,-79,5148.5,-0.01534427503156259
56,101,雙溪,-75,9502.5,-0.007892659826361484
57,101,貢寮,-113,13468.5,-0.008389946913167762
58,101,烏來,53,5948.5,0.008909809195595529
60,102,板橋,-497,557168.5,-0.0008920102267087963
61,102,三重,-394,390010.0,-0.0010102305069100792
62,102,中和,-761,416122.5,-0.0018287883976473274
63,102,永和,-1683,229903.5,-0.007320462715878618
64,102,新莊,2390,408565.0,0.0058497423910516076
65,102,新店,1364,298335.0,0.004572041496974877
66,102,土城,-436,239476.0,-0.001820641734453557
67,102,蘆洲,-189,199520.5,-0.0009472710824201022
68,102,樹林,1210,182802.0,0.0066191835975536375
69,102,鶯歌,210,88532.0,0.002372023675055347
70,102,三峽,2073,108973.5,0.01902297347520269
71,102,淡水,4145,153168.5,0.02706170002317709
72,102,汐止,1384,193508.0,0.007152159083862166
73,102,瑞芳,-137,41558.5,-0.0032965578642155033
74,102,五股,442,81523.0,0.005421782809759209
75,102,泰山,257,77810.5,0.0033028961386959346
76,102,林口,3937,92139.5,0.04272868856462212
77,102,八里,457,35972.5,0.012704149002710404
78,102,深坑,75,23584.5,0.0031800546969407875
79,102,石碇,-34,7865.0,-0.004322949777495232
