年,月,隸屬區,里數,鄰數,戶數,男,女,合計
109,1,板橋區,126,2515,215365,271109,286011,557120
109,1,三重區,119,2564,153239,189516,196720,386236
109,1,中和區,93,2998,167648,199873,213194,413067
109,1,永和區,62,1249,91318,104533,116086,220619
109,1,新莊區,84,1842,157973,204920,215764,420684
109,1,新店區,69,1482,129159,145577,158047,303624
109,1,土城區,47,1236,88280,116956,120806,237762
109,1,蘆洲區,38,727,72504,99025,103001,202026
109,1,樹林區,42,1039,67161,91623,92283,183906
109,1,鶯歌區,20,434,31070,43542,43403,86945
109,1,三峽區,28,608,43987,58235,58352,116587
109,1,淡水區,42,697,80388,85656,93380,179036
109,1,汐止區,50,1137,89747,99087,104534,203621
109,1,瑞芳區,34,426,16150,19925,19570,39495
109,1,五股區,20,515,33681,44366,43799,88165
109,1,泰山區,17,466,28819,38863,39868,78731
109,1,林口區,17,443,46559,56368,59632,116000
109,1,八里區,10,195,15281,19728,19827,39555
109,1,深坑區,8,239,9709,11846,11868,23714
109,1,石碇區,12,107,3407,4164,3458,7622
109,1,坪林區,7,78,2543,3655,3043,6698
109,1,三芝區,13,254,9549,11680,11041,22721
109,1,石門區,9,124,4284,6134,5682,11816
109,1,金山區,15,201,7149,10524,10853,21377
109,1,萬里區,10,186,7512,10951,10889,21840
109,1,平溪區,12,120,2274,2510,2023,4533
109,1,雙溪區,12,244,3769,4686,3946,8632
109,1,貢寮區,11,202,4351,6145,5861,12006
109,1,烏來區,5,43,1904,3134,3300,6434
總計,,,1032,22371,1584780,1964331,2056241,4020572
