,district,population,date,Month,prev_pop,growth,g_ave,g_rate
6,中山,224102,100,12,220573,3529,222337.5,0.015872266261876652
6,中山,226659,101,12,224193,2466,225426.0,0.010939288280854914
6,中山,228753,102,12,227037,1716,227895.0,0.007529783452905944
6,中山,230496,103,12,228926,1570,229711.0,0.006834674874080911
6,中山,231350,104,12,230833,517,231091.5,0.002237209070865869
6,中山,231247,105,12,231286,-39,231266.5,-0.00016863661619819558
6,中山,230710,106,12,231332,-622,231021.0,-0.002692395929374386
6,中山,229456,107,12,230558,-1102,230007.0,-0.004791158529957784
6,中山,227387,108,12,229309,-1922,228348.0,-0.008416977595599699
6,中山,223876,109,12,227266,-3390,225571.0,-0.015028527603282337
6,中山,215567,110,12,223438,-7871,219502.5,-0.03585836152207834
7,中正,161449,100,12,159768,1681,160608.5,0.010466444802111967
7,中正,162154,101,12,161616,538,161885.0,0.003323346820273651
7,中正,163140,102,12,162295,845,162717.5,0.005193049303240278
7,中正,163388,103,12,163235,153,163311.5,0.0009368599271943495
7,中正,162475,104,12,163403,-928,162939.0,-0.005695382934717901
7,中正,160403,105,12,162549,-2146,161476.0,-0.013289900666352895
7,中正,159608,106,12,160484,-876,160046.0,-0.0054734263899129
7,中正,159000,107,12,159598,-598,159299.0,-0.003753946980207032
7,中正,158014,108,12,158903,-889,158458.5,-0.005610301750931632
7,中正,155397,109,12,157743,-2346,156570.0,-0.01498371335504886
7,中正,150644,110,12,155257,-4613,152950.5,-0.030160084471773548
4,信義,226541,100,12,225375,1166,225958.0,0.005160251020101081
4,信義,227734,101,12,226704,1030,227219.0,0.004533071618130526
4,信義,228496,102,12,227907,589,228201.5,0.0025810522717861187
4,信義,229657,103,12,228621,1036,229139.0,0.004521273113699545
4,信義,229211,104,12,229854,-643,229532.5,-0.002801346214588348
4,信義,227823,105,12,229139,-1316,228481.0,-0.005759778712453114
4,信義,225753,106,12,227666,-1913,226709.5,-0.00843811132749179
4,信義,223406,107,12,225561,-2155,224483.5,-0.009599814685711867
4,信義,220021,108,12,223113,-3092,221567.0,-0.013955146750192944
4,信義,215240,109,12,219744,-4504,217492.0,-0.020708807680282493
4,信義,207500,110,12,214669,-7169,211084.5,-0.033962702140611936
12,內湖,275652,100,12,270956,4696,273304.0,0.017182331762433042
12,內湖,280025,101,12,275968,4057,277996.5,0.014593708913601431
12,內湖,282842,102,12,280219,2623,281530.5,0.009316930137232024
12,內湖,285767,103,12,283085,2682,284426.0,0.009429517695288055
12,內湖,287566,104,12,286047,1519,286806.5,0.005296253745992507
12,內湖,287733,105,12,287726,7,287729.5,2.4328405672689107e-05
12,內湖,287771,106,12,287861,-90,287816.0,-0.0003126997804152653
12,內湖,287429,107,12,287842,-413,287635.5,-0.0014358450191301144
12,內湖,285795,108,12,287442,-1647,286618.5,-0.005746314351655598
12,內湖,282525,109,12,285526,-3001,284025.5,-0.010565952704950789
12,內湖,276707,110,12,281975,-5268,279341.0,-0.01885867094339893
14,北投,252290,100,12,249573,2717,250931.5,0.010827656153173276
14,北投,254192,101,12,252408,1784,253300.0,0.007043031977891828
14,北投,255444,102,12,254180,1264,254812.0,0.0049605199127199665
14,北投,257520,103,12,255586,1934,256553.0,0.007538403370843451
14,北投,257862,104,12,257604,258,257733.0,0.0010010359558147385
14,北投,257370,105,12,257922,-552,257646.0,-0.0021424745581146223
14,北投,256456,106,12,257384,-928,256920.0,-0.0036120193056204267
14,北投,255532,107,12,256359,-827,255945.5,-0.0032311566329550627
14,北投,253319,108,12,255183,-1864,254251.0,-0.007331337929840984
14,北投,250144,109,12,253155,-3011,251649.5,-0.011965054569947486
14,北投,244750,110,12,249829,-5079,247289.5,-0.020538680372599726
11,南港,116131,100,12,114258,1873,115194.5,0.016259456831706376
