,年,月,隸屬區,合計
0,100,1,板橋區,554386
1,100,1,三重區,389831
2,100,1,中和區,414219
3,100,1,永和區,234296
4,100,1,新莊區,402124
5,100,1,新店區,296254
6,100,1,土城區,238432
7,100,1,蘆洲區,197782
8,100,1,樹林區,176491
9,100,1,鶯歌區,86860
10,100,1,三峽區,103599
11,100,1,淡水區,143687
12,100,1,汐止區,189567
13,100,1,瑞芳區,42393
14,100,1,五股區,79992
15,100,1,泰山區,76512
16,100,1,林口區,83529
17,100,1,八里區,34803
18,100,1,深坑區,23250
19,100,1,石碇區,7950
20,100,1,坪林區,6530
21,100,1,三芝區,23286
22,100,1,石門區,12719
23,100,1,金山區,22372
24,100,1,萬里區,21988
25,100,1,平溪區,5319
26,100,1,雙溪區,9707
27,100,1,貢寮區,13720
28,100,1,烏來區,5823
29,總計,,,3897421
0,101,1,板橋區,555484
1,101,1,三重區,390528
2,101,1,中和區,414947
3,101,1,永和區,232286
4,101,1,新莊區,404279
5,101,1,新店區,296649
6,101,1,土城區,239235
7,101,1,蘆洲區,198436
8,101,1,樹林區,179972
9,101,1,鶯歌區,87715
10,101,1,三峽區,105756
11,101,1,淡水區,147048
12,101,1,汐止區,190704
13,101,1,瑞芳區,41996
14,101,1,五股區,80562
15,101,1,泰山區,77101
16,101,1,林口區,86863
17,101,1,八里區,35411
18,101,1,深坑區,23553
19,101,1,石碇區,7872
20,101,1,坪林區,6521
21,101,1,三芝區,23316
22,101,1,石門區,12830
23,101,1,金山區,22440
24,101,1,萬里區,22266
25,101,1,平溪區,5188
26,101,1,雙溪區,9540
27,101,1,貢寮區,13525
28,101,1,烏來區,5922
29,總計,,,3917945
0,102,1,板橋區,557417
1,102,1,三重區,390207
2,102,1,中和區,416503
3,102,1,永和區,230745
4,102,1,新莊區,407370
5,102,1,新店區,297653
6,102,1,土城區,239694
7,102,1,蘆洲區,199615
8,102,1,樹林區,182197
9,102,1,鶯歌區,88427
10,102,1,三峽區,107937
11,102,1,淡水區,151096
12,102,1,汐止區,192816
13,102,1,瑞芳區,41627
14,102,1,五股區,81302
15,102,1,泰山區,77682
16,102,1,林口區,90171
17,102,1,八里區,35744
18,102,1,深坑區,23547
19,102,1,石碇區,7882
20,102,1,坪林區,6471
21,102,1,三芝區,23477
22,102,1,石門區,12788
23,102,1,金山區,22469
24,102,1,萬里區,22455
25,102,1,平溪區,5102
26,102,1,雙溪區,9474
27,102,1,貢寮區,13396
28,102,1,烏來區,5975
29,總計,,,3941239
0,103,1,板橋區,556933
1,103,1,三重區,389762
2,103,1,中和區,415742
3,103,1,永和區,229042
4,103,1,新莊區,409864
5,103,1,新店區,299042
6,103,1,土城區,239172
7,103,1,蘆洲區,199447
8,103,1,樹林區,183553
9,103,1,鶯歌區,88684
10,103,1,三峽區,110072
11,103,1,淡水區,155547
12,103,1,汐止區,194115
13,103,1,瑞芳區,41450
14,103,1,五股區,81763
15,103,1,泰山區,78014
16,103,1,林口區,94440
17,103,1,八里區,36299
18,103,1,深坑區,23583
19,103,1,石碇區,7847
20,103,1,坪林區,6463
21,103,1,三芝區,23459
22,103,1,石門區,12772
23,103,1,金山區,22383
24,103,1,萬里區,22599
25,103,1,平溪區,4996
26,103,1,雙溪區,9401
27,103,1,貢寮區,13293
28,103,1,烏來區,6040
29,總計,,,3955777
0,104,1,板橋區,555924
1,104,1,三重區,389199
2,104,1,中和區,415277
3,104,1,永和區,227221
4,104,1,新莊區,411913
5,104,1,新店區,299691
6,104,1,土城區,239310
7,104,1,蘆洲區,199739
8,104,1,樹林區,184153
9,104,1,鶯歌區,89136
10,104,1,三峽區,111641
11,104,1,淡水區,159187
12,104,1,汐止區,195167
13,104,1,瑞芳區,41280
14,104,1,五股區,82255
15,104,1,泰山區,78491
16,104,1,林口區,97887
17,104,1,八里區,37226
18,104,1,深坑區,23622
19,104,1,石碇區,7865
20,104,1,坪林區,6468
21,104,1,三芝區,23490
22,104,1,石門區,12730
23,104,1,金山區,22396
24,104,1,萬里區,22687
25,104,1,平溪區,4942
26,104,1,雙溪區,9413
27,104,1,貢寮區,13097
28,104,1,烏來區,6164
29,總計,,,3967571
0,105,1,板橋區,554008
1,105,1,三重區,388386
2,105,1,中和區,414356
3,105,1,永和區,225353
4,105,1,新莊區,413443
5,105,1,新店區,300283
6,105,1,土城區,238646
7,105,1,蘆洲區,200055
8,105,1,樹林區,184329
9,105,1,鶯歌區,87931
10,105,1,三峽區,112775
11,105,1,淡水區,162441
12,105,1,汐止區,196150
13,105,1,瑞芳區,40922
14,105,1,五股區,82983
15,105,1,泰山區,78801
16,105,1,林口區,100554
17,105,1,八里區,37711
18,105,1,深坑區,23614
19,105,1,石碇區,7857
