year,district,in,out
102,板橋區,1733,2065
102,三重區,1198,1570
102,中和區,1603,1839
102,永和區,1003,1064
102,新莊區,1422,1233
102,新店區,1138,1284
102,土城區,852,1000
102,蘆洲區,666,789
102,樹林區,795,680
102,鶯歌區,317,371
102,三峽區,526,394
102,淡水區,881,560
102,汐止區,857,809
102,瑞芳區,144,159
102,五股區,322,358
102,泰山區,342,325
102,林口區,654,365
102,八里區,161,147
102,深坑區,115,101
102,石碇區,23,35
102,坪林區,12,18
102,三芝區,112,112
102,石門區,51,73
102,金山區,45,68
102,萬里區,55,100
102,平溪區,10,20
102,雙溪區,51,36
102,貢寮區,32,39
102,烏來區,22,24
103,板橋區,1788,2170
103,三重區,1262,1629
103,中和區,1744,2127
103,永和區,1049,1109
103,新莊區,1327,1497
103,新店區,1385,1494
103,土城區,862,1010
103,蘆洲區,678,854
103,樹林區,707,768
103,鶯歌區,304,354
103,三峽區,546,465
103,淡水區,839,594
103,汐止區,869,926
103,瑞芳區,152,141
103,五股區,368,383
103,泰山區,349,348
103,林口區,571,507
103,八里區,149,162
103,深坑區,91,125
103,石碇區,67,47
103,坪林區,17,38
103,三芝區,98,114
103,石門區,54,89
103,金山區,67,89
103,萬里區,89,125
103,平溪區,31,21
103,雙溪區,50,38
103,貢寮區,40,56
103,烏來區,29,40
104,板橋區,1618,2047
104,三重區,1249,1318
104,中和區,1574,1816
104,永和區,912,1036
104,新莊區,1240,1387
104,新店區,1132,1334
104,土城區,758,934
104,蘆洲區,609,719
104,樹林區,677,745
104,鶯歌區,266,499
104,三峽區,516,409
104,淡水區,812,596
104,汐止區,800,781
104,瑞芳區,119,157
104,五股區,306,321
104,泰山區,267,303
104,林口區,519,406
104,八里區,144,149
104,深坑區,82,122
104,石碇區,12,32
104,坪林區,22,19
104,三芝區,148,134
104,石門區,87,112
104,金山區,58,66
104,萬里區,74,120
104,平溪區,18,19
104,雙溪區,35,43
104,貢寮區,27,48
104,烏來區,12,30
105,板橋區,1372,1712
105,三重區,1116,1108
105,中和區,1309,1415
105,永和區,734,845
105,新莊區,1098,1160
105,新店區,977,1131
105,土城區,635,726
105,蘆洲區,558,610
105,樹林區,607,687
105,鶯歌區,222,304
105,三峽區,419,302
105,淡水區,686,424
105,汐止區,711,648
105,瑞芳區,105,132
105,五股區,332,269
105,泰山區,264,226
105,林口區,535,317
105,八里區,146,103
105,深坑區,59,86
105,石碇區,21,37
105,坪林區,25,22
105,三芝區,58,79
105,石門區,40,41
105,金山區,44,61
105,萬里區,49,86
105,平溪區,12,33
105,雙溪區,29,29
105,貢寮區,27,30
105,烏來區,13,21
106,板橋區,1326,1499
106,三重區,970,1102
106,中和區,1215,1320
106,永和區,713,864
106,新莊區,1200,1101
106,新店區,1078,975
106,土城區,681,682
106,蘆洲區,643,556
106,樹林區,597,599
106,鶯歌區,278,287
106,三峽區,353,315
106,淡水區,622,458
106,汐止區,724,645
106,瑞芳區,109,127
106,五股區,322,250
106,泰山區,234,246
106,林口區,489,329
106,八里區,97,153
106,深坑區,84,80
106,石碇區,12,31
106,坪林區,19,24
106,三芝區,63,67
106,石門區,19,38
106,金山區,43,57
106,萬里區,64,70
106,平溪區,10,7
