,年,月,分類,隸屬區,人數(對數)
0,103,4.0,遷入統計,板橋區,1788
1,103,4.0,遷入統計,三重區,1262
2,103,4.0,遷入統計,中和區,1744
3,103,4.0,遷入統計,永和區,1049
4,103,4.0,遷入統計,新莊區,1327
5,103,4.0,遷入統計,新店區,1385
6,103,4.0,遷入統計,土城區,862
7,103,4.0,遷入統計,蘆洲區,678
8,103,4.0,遷入統計,樹林區,707
9,103,4.0,遷入統計,鶯歌區,304
10,103,4.0,遷入統計,三峽區,546
11,103,4.0,遷入統計,淡水區,839
12,103,4.0,遷入統計,汐止區,869
13,103,4.0,遷入統計,瑞芳區,152
14,103,4.0,遷入統計,五股區,368
15,103,4.0,遷入統計,泰山區,349
16,103,4.0,遷入統計,林口區,571
17,103,4.0,遷入統計,八里區,149
18,103,4.0,遷入統計,深坑區,91
19,103,4.0,遷入統計,石碇區,67
20,103,4.0,遷入統計,坪林區,17
21,103,4.0,遷入統計,三芝區,98
22,103,4.0,遷入統計,石門區,54
23,103,4.0,遷入統計,金山區,67
24,103,4.0,遷入統計,萬里區,89
25,103,4.0,遷入統計,平溪區,31
26,103,4.0,遷入統計,雙溪區,50
27,103,4.0,遷入統計,貢寮區,40
28,103,4.0,遷入統計,烏來區,29
29,總計,,,,15582
