,年,月,分類,隸屬區,人數(對數)
0,102,4.0,遷出統計,板橋區,2065
1,102,4.0,遷出統計,三重區,1570
2,102,4.0,遷出統計,中和區,1839
3,102,4.0,遷出統計,永和區,1064
4,102,4.0,遷出統計,新莊區,1233
5,102,4.0,遷出統計,新店區,1284
6,102,4.0,遷出統計,土城區,1000
7,102,4.0,遷出統計,蘆洲區,789
8,102,4.0,遷出統計,樹林區,680
9,102,4.0,遷出統計,鶯歌區,371
10,102,4.0,遷出統計,三峽區,394
11,102,4.0,遷出統計,淡水區,560
12,102,4.0,遷出統計,汐止區,809
13,102,4.0,遷出統計,瑞芳區,159
14,102,4.0,遷出統計,五股區,358
15,102,4.0,遷出統計,泰山區,325
16,102,4.0,遷出統計,林口區,365
17,102,4.0,遷出統計,八里區,147
18,102,4.0,遷出統計,深坑區,101
19,102,4.0,遷出統計,石碇區,35
20,102,4.0,遷出統計,坪林區,18
21,102,4.0,遷出統計,三芝區,112
22,102,4.0,遷出統計,石門區,73
23,102,4.0,遷出統計,金山區,68
24,102,4.0,遷出統計,萬里區,100
25,102,4.0,遷出統計,平溪區,20
26,102,4.0,遷出統計,雙溪區,36
27,102,4.0,遷出統計,貢寮區,39
28,102,4.0,遷出統計,烏來區,24
29,總計,,,,15638
