,臺北市106年各行政區遷入人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,122673,8221,9281,12030,8718,11609,10939,10164,11783,11607,8737,9369,10215
3,松山,10168,696,851,941,775,910,971,860,875,902,748,715,924
4,信義,9289,645,659,874,644,861,765,786,952,889,673,760,781
5,大安,16253,1054,1129,1765,1141,1593,1513,1294,1452,1586,1134,1201,1391
6,中山,12411,855,967,1174,882,1147,1134,1031,1274,1224,872,905,946
7,中正,10315,730,903,1080,743,906,837,831,901,933,728,822,901
8,大同,6313,362,483,715,444,644,551,480,645,607,401,483,498
9,萬華,8471,523,573,770,615,810,706,813,877,841,655,623,665
10,文山,11369,781,825,1169,799,1044,963,963,1049,1083,862,844,987
11,南港,5828,360,433,527,402,567,567,497,589,598,433,434,421
12,內湖,11820,804,856,1163,846,1161,1029,952,1122,1107,849,998,933
13,士林,10762,767,851,983,744,1076,997,906,1040,898,710,804,986
14,北投,9674,644,751,869,683,890,906,751,1007,939,672,780,782
15,備註：依據戶籍資料產製。,,,,,,,,,,,,,
