,臺北市108年各行政區遷出人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,152509,12978,10132,12537,12694,15452,11277,16197,15330,16006,10950,9674,9282
3,松山,12519,1060,789,975,984,1203,996,1341,1319,1432,909,809,702
4,信義,12705,1099,858,962,1066,1349,1008,1302,1300,1259,911,712,879
5,大安,18711,1654,1105,1472,1511,1875,1369,1908,1822,2159,1393,1213,1230
6,中山,14642,1203,1014,1330,1261,1495,1097,1465,1407,1462,1065,932,911
7,中正,12361,1068,786,945,989,1200,925,1436,1282,1419,882,758,671
8,大同,8193,716,546,681,672,819,582,969,900,769,579,534,426
9,萬華,11073,932,836,933,978,1120,734,1121,1135,1134,800,638,712
10,文山,14005,1174,873,1140,1181,1433,1005,1575,1415,1438,1019,886,866
11,南港,7417,605,551,657,609,748,544,776,705,783,560,450,429
12,內湖,14540,1120,941,1219,1243,1430,1031,1603,1413,1597,1018,1023,902
13,士林,13957,1172,1065,1164,1166,1448,1039,1487,1410,1319,973,890,824
14,北投,12386,1175,768,1059,1034,1332,947,1214,1222,1235,841,829,730
15,備註：依據戶籍資料產製。,,,,,,,,,,,,,
